comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzZRQCZq5F3x3ucSn14AaABAg,"Hey Chaps! What iPhone are you using?? (or none!) CORRECTION: iPhone 15 also has a 48MP Main, and the 16 Pro's do have faster wired charging.",@Thetechchap,89.0,2024-10-02T12:52:06Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgzMr4A54Lcjg9_3UBV4AaABAg,Watched many 16 plus videos. Yours really is the most complete one. Thank you so much for your hard work. It has confirmed that the 16 plus is the one I'll get when I change phones.,@seekyeefirstforsound,53.0,2024-12-14T11:19:38Z,positive,True,False,,False,,False,,False,,False,,False,
Ugxks8fJXitx5amFpMx4AaABAg,Finally some attention to these phones! Usually they disappear behind the pro's and ultra's,@andyparzival8270,99.0,2024-10-02T16:11:24Z,positive,True,False,,False,,False,,False,,False,,False,
UgyL_kYYP6Q6HPNjbaR4AaABAg,"I am thinking about the standard 16, I have been running the iPhone 11 since launch, and aside from the need to replace the battery (which I will do so it can become a hand-me-down to youngest child) it's still actually a perfectly good phone.",@ben.harnwell,33.0,2024-10-04T05:04:30Z,positive,True,False,,True,neutral,False,,False,,False,,False,
UgztDe_xjyqc7Oos_s94AaABAg,"You review these phones for real, I respect your work so much these days now that I am aware many tech channels have turned into influencer ad channels.",@CalmDinosaur-jz9ej,67.0,2024-10-02T14:53:45Z,positive,False,False,,False,,False,,False,,False,,False,
UgwCrBCTPtPMySbzj_54AaABAg,"Don't see much difference from the iPhone 15 to 16, idk. The 15 has been a great phone to me, I have it with a leather case from Vionentus, and haven't been damaged or anything, the camera has been good, the battery too, also I use it for work so, I keep watching this kinda of vids to see if upgrade it",@jeremyharriet,170.0,2024-10-15T00:38:31Z,positive,True,True,positive,True,positive,False,,False,,True,positive,False,
UgwnYZRq902Qay9_6ad4AaABAg,The audio mix features are so cool to me because usually that level of noise cancellation sounds bad and nearly robotic. Nice stuff,@ak_hoops,26.0,2024-10-02T13:59:24Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugz6KQiWLt8h0Ps1jgJ4AaABAg,"This is by far best review of 16 and 16 pro and any iPhone in general that I have ever seen. You hit the nail on the head with size, weight and some other comparisson. 10/10 you got a new sub",@etemanuel,21.0,2024-10-10T10:11:36Z,positive,True,False,,False,,False,,False,,True,positive,False,
UgwlqphDAlx6tKxL_m54AaABAg,"iPhone 16 Plus paired with the iPad Pro M4 is a perfect match! Coming from the iPhone 12 Pro Max, I'm really enjoying the iPhone 16 Plus. I don't play games on it, and I'm not out here trying to be a photographer with my phone. Buy what you need, not what's popular.",@DeezSpoiledEggz,51.0,2024-10-04T12:30:54Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgzFGdz1l8Yr6SXaHsl4AaABAg,"PCs were peaking 10-15 years ago. In the 90s and early 2000s, each upgrade you did every year was exciting, as it brought big improvements. As a 90s kid, I HAD TO upgrade my PC every year. It was pretty much mandatory, the difference was so big, and a 2 year old PC was really obsolete. But in the 2010s and today, using a 10 year old PC causes no issues whatsoever. Laptops followed shortly after. The same thing is happening with smartphones. In the 10 years after iPhone was released, every year brough exciting upgrades on all platforms. Phones became much faster, look much nicer, have much better screen, etc... But they peaked ~5 years ago. Their screen is near perfect, they perform all task instantaneously, so there is nothing really to improve. I often accidentally grab my 5yo Xs instead of 15 Pro, and only notice when I try to call someone and there is no service on it:D",@seq31,153.0,2024-10-02T13:48:37Z,neutral,True,False,,False,,True,positive,True,positive,True,positive,False,
UgzHyANLs3tgDhxRqJR4AaABAg,The battery life comparison of generation 12 through 16 was very useful 👏🏻👌🏻,@ljdobles8104,150.0,2024-10-02T18:46:14Z,positive,True,False,,True,positive,False,,False,,False,,False,
UgwGmU1e6eb1hYHUZER4AaABAg,"I had iPhone 15 pro max and now i am using iPhone 16 standard, I know sounds stupid to some people, but my main reason for getting iPhone 16 is the size and weight, iPhone 15 PM was big phone and heavy weight and overtime I did notice that, I don't really care about the PRO features and 60 hertz not that bad with me. Everyone has own personal preference.",@marinamekael1214,117.0,2024-10-03T10:20:25Z,positive,True,False,,False,,True,positive,True,positive,True,positive,False,
Ugzb9evu1NV_ZaInqU54AaABAg,Best review so far. Absolutely honest!,@SpeedGio,76.0,2024-10-02T17:41:18Z,positive,False,False,,False,,False,,False,,False,,False,
UgyHHAId4sfw_fhTcp14AaABAg,Keeping my 14 Pro and replacing the battery after the new year. It's still lightning fast and has everything I want/need in a phone. Plus it's the Deep Purple model lol.,@shawng4886,8.0,2024-10-03T19:38:20Z,positive,True,False,,True,positive,True,positive,False,,True,positive,False,
UgxI3JQToDFvir_Q1ZZ4AaABAg,9:53 This camera pan with all the various iPhone colors is my favourite part of this whole video lol,@Smithson52,9.0,2024-10-02T18:27:11Z,positive,False,False,,False,,False,,False,,True,positive,False,
UgyR_utndCPo9Hw90cx4AaABAg,"When you list everything out, the Pros sound like they deserve that title. But the regular 16 is better value overall, especially if you aren't a pro"" creator needed camera related things.""",@ak_hoops,15.0,2024-10-02T13:50:29Z,positive,True,True,neutral,False,,False,,False,,True,positive,False,
UgwItfTCshX5dzRM61l4AaABAg,Still using the Xs with ios 18 and will not be upgrading to iPhone 16. It's great that I still get os and security update.,@D3EPAN,39.0,2024-10-02T13:13:29Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgxmahlZbjTnRjPTo_d4AaABAg,Upgrades to the 16 pro Max from the 14 pro Max and i am super happy. The smaller bezels and the rounded Frame are really noticable BUT the Phone feels soooo much lighter. What a surprise.,@levi.s722,13.0,2024-10-02T13:47:44Z,positive,True,False,,False,,False,,True,positive,True,positive,False,
UgyDTwjVBW8w6sr8C8R4AaABAg,I have the 12 but looking to upgrade. I'm hesitataing between the 16 and 16+ but your video answered my questions so will get the 16+. Thank you mate! Appreciate that! Subbed! Cheers! 😎😊,@paymans1153,35.0,2024-10-03T07:27:01Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw2Y8k49v59NM0YsJt4AaABAg,"that is very helpful, from Android I am planning to buy an iphone 16 and now I am thinking for the 16 plus.",@tzuyuuu9108,8.0,2024-11-17T01:22:54Z,positive,True,False,,False,,False,,False,,False,,False,
Ugx77abD191NCCTCHGN4AaABAg,Upgrading my 64GB 12 to the 16 Plus 256GB. Definitely feeling that lack of storage especially because I like to game on my phone.,@bloodywolf9760,7.0,2024-11-26T05:48:44Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugw96cw2vt6lJmbKjrF4AaABAg,Upgrading from an XR to a regular 16. Slight concern that 128GB will be tight for running Apple Intelligence features on device.,@n1cks-x9k,14.0,2024-10-02T13:08:18Z,neutral,True,False,,False,,True,neutral,False,,False,,False,
