comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
"""1:58 Correction: 30min in up to 6m of water"," not 60m!""",@GSMArenaOfficial,82,2021-10-19T19:03:27Z,neutral,True,False,,False,,False,,False,,False,,False,
"""Upgrading from an IPhone XR. I do not regret going for this smaller phone. It is the perfect mini device and the performance and battery life is excellent. I can’t fault it in anyway"," it feels so good in the hand too and I can finally use my device without having to play hand gymnastics. Texting with one hand is great. I can fit it into my pockets now with ease. Over-all a powerful mini phone. I do hope apple continues these mini phones because I will never go back to a bigger one.""",@jessicawaddingham7327,375,2021-10-20T13:39:39Z,positive,True,False,,True,positive,True,positive,False,,True,positive,False,
"""I upgraded from the 2020 SE and holy shit. I was lucky to get 3-4 hours of screen on time with the SE. Now I easily get through a day with 6.5-8 hours of screen on time. The design feels like the 5s which was my favorite design of all time. Screen size is nice. Battery"," performance and design are all 10/10. Unfortunate we might not get a 14 mini.""",@JumpFloater4,393,2021-10-19T15:53:41Z,positive,True,False,,True,positive,False,,True,positive,True,positive,False,
"""Had the 13 mini for a week now and its just amazing. A brick in the pocket is not ideal for me so this model is the perfect size for me. Smaller battery but it is still a very good one. Love it!""",@obzen901,226,2021-10-23T23:15:59Z,positive,True,False,,True,positive,False,,False,,True,positive,False,,
"""As someone who is only 5’4"," I have small hands and this phone couldn’t fit my hands better. I do prefer the feel without a case and that’s a part of the size. The battery is amazing. Screen looks amazing because of the very high pixel density unlike the larger phones.i only wish they will make a new one with the Dynamic Island and better ram and battery""",@lukeburinsky,12,2024-02-27T20:55:05Z,positive,True,False,,True,positive,False,,True,positive,True,positive,False,
"""Got my hands one one two years later upgrade from iPhone 8plus can’t wait to use it""",@TheKing4576,6,2024-01-07T02:48:12Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Who’s still on a 13 mini? 💪🏼""",@j23fhg2m,29,2025-01-09T18:20:47Z,neutral,True,False,,False,,False,,False,,False,,False,,
"""I never seen Ricky before"," only in the ending sequences. Refreshing.""",@davidariyan7915,13,2021-10-20T08:09:11Z,positive,True,False,,False,,False,,False,,False,,False,
"""I own 13 mini I love it. I moved to iPhone after 12 years of android fan because there are no small phones in android.. apple should continue mini ..""",@harissend,22,2022-03-24T22:45:15Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Got my mini today its perfect…lets just say its smaller than the iphone 6s just a bit😍""",@Namastay,17,2021-10-21T18:03:55Z,positive,True,False,,False,,False,,False,,True,positive,False,,
"""I recently bought the 13 mini in the beautiful forest green color. Currently running iOS 17 beta 2 with no issues whatsoever 😂😂""",@Horizon___Adventures-909,16,2023-08-08T22:37:26Z,positive,True,False,,False,,False,,False,,True,positive,False,,
"""Hell yeah"," I've dropped my XR a million times.  I rarely dropped my iPhone SE.  Bigger phones are a BIG problem.""",@MacCentrisSimpleSencilla,20,2021-11-25T20:21:50Z,positive,True,False,,False,,False,,False,,False,,False,
"""I hope the mini line will continue with iPhone releases because this is the perfect size for me. This is the reason why I switched from android.""",@darkwhite9310,19,2022-02-17T14:34:31Z,positive,True,False,,False,,False,,False,,True,positive,False,,
"""Im really annoyed at how phones keep getting bigger and bigger but not our hands though. I currently have a samsung and I've ended up with wrist pain. I will admit I had never considered buying an apple before but now I am. Kudos to Apple for releasing compact flagship phones""",@MissCagoita,47,2022-01-02T20:46:20Z,positive,True,False,,False,,False,,False,,True,positive,False,,
"""I got mine blue 256gb 2 days ago..not small for me …not much different from my previous X…i like the size and battery pretty solid..""",@QyllCrochet,50,2021-10-19T14:24:26Z,positive,True,False,,True,positive,False,,False,,True,positive,False,,
"""Appreciate the thorough review.""",@EvolveFiRE,9,2021-10-26T21:19:52Z,positive,True,False,,False,,False,,False,,False,,False,,
"""i switched from an 8 to 13 mini"," and its amazing""",@fortnitegod43021,15,2021-12-28T01:49:13Z,positive,True,False,,False,,False,,False,,False,,False,
"""Finally"," the review I was waiting for!""",@Eric-ee8dy,3,2021-10-19T23:52:07Z,positive,True,False,,False,,False,,False,,False,,False,
"""Love Ricky reviews"," another banger good sir. Great work!""",@thebritish910,5,2021-10-20T05:27:45Z,positive,True,False,,False,,False,,False,,False,,False,
"""i  still just love watching the reviews of this phones even if i cant afford it""",@femimoses4790,4,2022-09-06T15:48:20Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Wow... I love the little movie you guys acted with the Cinematic mood""",@charlesaghahowa7476,2,2022-05-01T01:23:46Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I just really hope they make more compact iphones.""",@rafim.3439,2,2023-07-19T02:39:28Z,positive,True,False,,False,,False,,False,,False,,False,,
"""It’s has a 5.4 inch screen. It’s a small form factor with a nice sized screen.""",@falconreconeight,4,2023-07-08T16:35:21Z,positive,True,False,,False,,False,,True,positive,False,,,,
"""If I wanted a laptop sized screen then I’d buy a laptop. The 13 mini is a great little phone and a huge upgrade from the 6 SE! Decent camera and 256 gb storage all I need.""",@NarleyAdventures,11,2022-12-07T11:19:20Z,positive,True,True,positive,False,,False,,False,,False,,False,,
"""I love this phone. Wish there was a way to keep the touch ID on this phone.""",@mariasarker4689,8,2022-10-09T19:32:19Z,positive,True,False,,False,,False,,False,,False,,False,,
"""really love compact powerful phones""",@doybalongo8107,2,2022-10-22T04:32:48Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I am so far enjoying my iPhone 13 mini after 2 weeks of used"," but as a former user of iPhone 11 I can't see any significant improvement in my day to day use including the camera. The only reason I got this new phone is every 2 years my company mobile plan gives me a new phone but if I am the one who will purchase I won't buy a new iPhone if I still have the iPhone 11.""",@jdtoledo,6,2022-02-06T09:19:11Z,neutral,True,True,negative,False,,False,,False,,False,,False,
"""I have the mini 13 I LOVE IT""",@SicanguLakota4rmSouthDakota,4,2023-10-31T03:31:33Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Best review I’ve seen !""",@stephenmacana4981,1,2022-05-09T03:18:38Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Watching from my mini finally 😅""",@asifforhadofficial,2,2025-01-24T09:31:57Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I got mine about a month  ago I absolutely love it I think manufacturers should do phones this size as there’s market for it"," I love the size and how performs also glad I have the 13 mini no the 12 mini it is worthy pay that but more ❤️""",@emil69-f5z,5,2023-09-04T11:39:02Z,positive,True,False,,False,,False,,False,,True,positive,False,
"""The most underrated phone!""",@amiayman,1,2022-08-19T16:12:39Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Used to think that photos taken on iphones looked great"," now I realized it looked heavily processed. But their video capture is still the best.""",@warnacokelat,3,2022-09-12T16:48:16Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
"""Great 13 mini"," great review. Thx.""",@mr.jazzowo,6,2021-10-19T18:44:21Z,positive,True,False,,False,,False,,False,,False,,False,
"""I have a 14 Pro and a 13 mini", the 14 pro feels like a brick. It’s so heavy," I love my mini ❤""",@Ninnjette-,1,2023-10-08T20:18:27Z,positive,True,False,,False,,False,,False,True,positive,False,
"""Just got 13 mini I love it !""",@realtalktampa8795,3,2022-01-24T02:08:40Z,positive,True,False,,False,,False,,False,,False,,False,,
"""13 mini is very good❤❤""",@Konoiruka,2,2023-12-19T16:17:52Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I am getting the 13 mini soon. Ahhh! So excited""",@alisoncharbonnier6021,1,2022-04-28T20:07:06Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Nice review.. really thorough and detailed.. thanks.""",@nuseibah_sh,4,2021-11-23T13:59:05Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I was so happy when Apple decided to make a mini phone. I love my iPhone 12 mini so much. I know I'm skipping 13 mini since it's quite impractical for me. I hope that they will not stop making minis.""",@judebautista5925,46,2021-10-19T16:46:28Z,negative,True,False,,False,,False,,False,,False,,False,,
"""Watching in my ip13 mini right now and feeling blessed lol""",@cledugay2596,27,2021-10-19T13:53:22Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I had a 12 mini.   I loved it.   The display went crazy so I upgraded to the 14.  I HATE IT!!!""",@J1Z06,3,2024-09-26T21:35:13Z,negative,True,False,,False,,True,negative,False,,False,,False,,
"""Its a great review😍👌""",@ehsanbghd,2,2021-12-24T20:50:49Z,positive,True,False,,False,,False,,False,,False,,False,,
"""tips if you want save battery life on 13 mini"," just don't play some game apps and don't open too long camera app or will be drain your battery quickly. that's my tips.""",@ishaq00,4,2022-01-18T17:58:44Z,neutral,True,False,,True,negative,False,,False,,False,False,,
"""Just got mine today. 😘👍""",@richierich1129,1,2022-10-19T11:14:05Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Love my little beast",it’s  green colour,,,,,,,,,,,,,,,,,
@Pzdh,0,2025-03-19T19:40:09Z,positive,True,False,,False,,False,,False,,False,,False,,,
"""Nice review!""",@nicholjamesmarucot6892,1,2021-10-19T16:09:36Z,positive,True,False,,False,,False,,False,,False,,False,,
"""That intro was 🔥🔥🔥💯""",@francisbasco6525,1,2021-10-19T14:11:57Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I've been back and forward with apple and Android and If they come out with a 14 mini I'll definitely going to get one""",@Whisp3o,20,2021-10-19T16:12:30Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I got the 13 pro max and 13 mini. I figured if we weren’t gonna have compact flagships around no more might as well get it so I can have for years to come!""",@CaseH5280,13,2021-10-23T14:20:33Z,positive,True,False,,False,,False,,False,,False,,False,,
"""I hate having big phones .. takes up too much space in my pocket lol""",@zureai,10,2021-11-09T20:59:26Z,positive,True,False,,False,,False,,False,,False,,False,,
"""pretty soon night mode will be so good that we will not be needing a flash..jk. But the 13 mini camera is amazing. Coming from a pixel i still do miss pixels post processing. But overall I do love the quality that comes out of the iPhone 13 mini.""",@kantKillKenny,6,2021-12-16T13:49:01Z,positive,True,True,neutral,False,,False,,False,,False,,False,,
"""I love phones that fit in the hand""",@aldoramonz,1,2021-10-21T16:39:54Z,positive,True,False,,False,,False,,False,,True,positive,False,,
"""The A roll background is just 🔥🔥🔥""",@pulaktrivedi9743,1,2021-10-20T04:55:53Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Definitely getting this!""",@alifhilmid,9,2021-10-19T13:22:41Z,positive,True,False,,False,,False,,False,,False,,False,,
"""planning to buy next month.. after 3 years in XR☺️""",@xyxy2614,1,2023-05-17T12:59:51Z,positive,True,False,,False,,False,,False,,False,,False,,
"""They should bring back iphone mini""",@so0onu,2,2023-05-14T22:01:30Z,positive,True,False,,False,,False,,False,,False,,False,,
"""These big phones make my hands hurt when I'm using it one handed. I was thinking about this or the Samsung z flip 3"," cos of the size""",@blyndfold4336,2,2022-08-12T21:14:37Z,positive,True,False,,False,,False,,False,,False,,False,
"""I'm a big fan of Compact phone""",@tanvirtmh,3,2021-10-20T10:36:54Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Can't wait to get the mini 13 for Christmas I'm tired of extremely laggy OnePlus nord200 and android just doesn't give a good vibe only Samsung version of Android and iOS feel clean and smooth""",@dissota1571,1,2021-11-26T23:21:27Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Great review. Got into the details of the camera and video features.""",@cjpatterson4711,1,2024-07-01T16:43:31Z,positive,True,False,,False,,False,,False,,False,,False,,
"""13 mini is very nice and compact but need to think twice about buying it because of it not being able to accurately represent leaf colours as i intend to shoot outdoor shots.""",@Gadavillers-Panoir,3,2022-08-07T05:53:47Z,negative,True,False,,False,,False,,False,,False,,False,,
"""Well I purchase iPhone 13 mini from iPhone X well I plan to buy iphone 13 pro max but I’m really happy with my iPhone 13 mini it is best phone it’s bring my old memories of my iPhone 5s""",@PowerClipson,1,2022-09-16T14:41:34Z,positive,True,False,,False,,False,,False,,False,,False,,
"""iphone 13mini", is so cute and has a fast operating system," but image quality is so disappointing along with the battery life. The image is not near """"superb"""" ",,,,,,,,,,,,,,,,
" it is a better battery life but it doesn't mean it is the best outhere facing the competition. What I think is """"superb"""" is their marketing strategy"," and the way they keep the user hooked to get to Buy & Upgrade.""",@Do-si,1,2024-02-11T20:21:16Z,negative,True,True,negative,True,neutral,False,,False,,False,False,,
"""Just went to Switch and saw this is in display but heck no stock 😢 and the saleslady says they don't know when will it be available 😢""",@akoTophixTV,1,2023-09-10T08:00:27Z,negative,True,False,,False,,False,,False,,False,,False,,
"""Wowwwww what camera are you using to record this your hands looks so smooth and look animated like a Disney movie i need deets""",@micheller1601,0,2021-12-02T03:06:58Z,neutral,True,False,,False,,False,,False,,False,,False,,
"""13mini is best🔥""",@cutzdinesh3937,2,2021-11-03T09:40:03Z,positive,True,False,,False,,False,,False,,False,,False,,
"""Great 13 mini"," great review. Thx.""",@mr.jazzowo,6,2021-10-19T18:44:21Z,positive,True,False,,False,,False,,False,,False,,False,
"""I have a 14 Pro and a 13 mini", the 14 pro feels like a brick. It’s so heavy," I love my mini ❤""",@Ninnjette-,1,2023-10-08T20:18:27Z,positive,True,False,,False,,False,,False,True,positive,False,
"""Just got 13 mini I love it !""",@realtalktampa8795,3,2022-01-24T02:08:40Z,positive,True,False,,False,,False,,False,,False,,False,,
"""13 mini is very good❤❤""",@Konoiruka,2,2023-12-19T16:17:52Z,positive,True,False,,False,,False,,False,,False,,False,,
