comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
Ugw3J6S9IiMudE5qlD94AaABAg,"""Congrats to nothing for removable covers without removable batteries.",,,,,,,,,,,,,,,,,
"*Truely revolutionary idea*""",@MrUnknownXD,14769,2024-07-08T15:27:55Z,negative,True,False,,True,negative,False,,False,,False,,False,,
Ugx4qsreCqdhLXL7pbR4AaABAg,"""They had such an incredible opportunity to make the battery easily hot swappable and instead we just end up with a fun gimmick.""",@mike_od_,14516,2024-07-08T15:24:40Z,negative,True,False,,True,negative,False,,False,,False,,False,
Ugxji4fZ-Ixco1F680B4AaABAg,"""I'm getting feeling that 3D printing community is gonna be crazy with this phone .....""",@devashishtambade9593,1149,2024-07-10T02:25:20Z,positive,False,False,,False,,False,,False,,False,,False,
UgxfTMAmbGkXYu3S6aF4AaABAg,"""This thing is just waiting for me to design some accessories for it.""",@UnnecessaryInventions,4203,2024-07-08T16:06:57Z,positive,False,False,,False,,False,,False,,False,,False,
UgzQ6OToU6w0X2BTsgN4AaABAg,"""Removable battery is honestly a missed opportunity. It could be very interesting part of this phone!""",@apiz444,2572,2024-07-08T15:29:07Z,negative,True,False,,True,negative,False,,False,,False,,False,
UgyYIEjby3Rp2IndvSB4AaABAg,"""""""CMF Phone 1 by Nothing"""" sounds like a phone you'd see in South Park""",@HeisenbergFam,3765,2024-07-08T15:25:09Z,negative,False,False,,False,,False,,False,,False,,False,
UgyIQBOI_9cDwfC5jCd4AaABAg,"""Lanyards are very popular in cities with a lot of pickpockets as you wrap it around your hand/arm and makes it harder to steal your phone. In Barcelona I saw many phones with one.""",@kyknekeer,133,2024-07-09T06:49:51Z,neutral,False,False,,False,,False,,False,,False,,False,
UgycwpSRPjoZMhTWO214AaABAg,"""Finally! Budget segment got something interesting and not filled with ads.""",@Meme-Comments,68,2024-07-08T21:15:33Z,positive,False,False,,False,,False,,False,,False,,False,
UgxlvjWj96e7du9d0Ap4AaABAg,"""What we lack in phones nowadays is innovation. And CMF is doing it 🎉""",@MrRenoo94,18,2024-07-09T17:31:07Z,positive,False,False,,False,,False,,False,,False,,False,
UgxCl7fYicGrKtg5yM14AaABAg,"""Omg the shot at 2:10 looks amazing""",@CTFS_YT,70,2024-07-08T15:50:15Z,positive,False,False,,False,,False,,False,,False,,False,
Ugw2-Qi3LG4n7Wm-TCh4AaABAg,"""Having a removable back without a replaceable battery and other components and that too made consciously is straight up foul by Nothing!""",@internetuser4266,730,2024-07-08T15:25:17Z,negative,True,False,,True,negative,False,,False,,False,,False,
Ugw-3d5SkIEicK4J5Wp4AaABAg,"""The lanyard is pretty useful for photographers and concert managers/crews.",,,,,,,,,,,,,,,,,
" Having cellphone in pocket while moving around is a pain and we always lose it when we set it somewhere""",@limbeboy7,171,2024-07-10T14:40:02Z,positive,False,False,,False,,False,,False,,False,,False,,
UgwTDnsnzxxJKQI92C14AaABAg,"""the landyard / crossbody strap is pretty popular in asia. phones are regularly seen as accessories with cute cases and other trinkets hanging off""",@kthekid10,24,2024-07-09T03:41:44Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugzaubgua2E9sJF8_f94AaABAg,"""The """"non-replaceable"""" battery is such a super weird move""",@bruxis,302,2024-07-09T02:06:24Z,negative,True,False,,True,negative,False,,False,,False,,False,
UgyaYCMeN1GyhD1l-LB4AaABAg,"""Modular is king if you can start companies touting actual modular designs that work! Game changer""",@JaredFarrer,6,2024-07-10T15:23:32Z,positive,True,False,,False,,False,,True,positive,False,,False,
UgyWzmF8z9ycZBr6aVB4AaABAg,"""This with the lanyard now is a great Raving/music festival phone.""",@andrewehyang,147,2024-07-08T15:34:27Z,positive,False,False,,False,,False,,False,,False,,False,
UgxOqdbvPbM6wS4O5d14AaABAg,"""The most impressive part of this video is that Nothing got MKBHD to make a video about a $200 dollar phone.""",@Gabriel-ne4et,613,2024-07-08T15:48:19Z,positive,True,False,,False,,True,positive,False,,True,positive,,
UgwuvPKr_KVxIotMHJh4AaABAg,"""The lanyard feature would be pretty popular overseas. That was a common thing I noticed (both locals and tourists) when I visited the past two years. Maybe if the lanyard were a bit more stylish I would rock it 😅""",@GlitchxCity,1,2024-07-12T23:38:16Z,positive,False,False,,False,,False,,False,,False,,False,
Ugx-1g1i1tRzfx7auF14AaABAg,"""- Hey we need something new for this CMF phone 1. Any ideas?",,,,,,,,,,,,,,,,,
- Let's make the back cover removable.,,,,,,,,,,,,,,,,,,
- That's not new.,,,,,,,,,,,,,,,,,,
- Yeah. But what if it's a removable cover with non-removable battery?,,,,,,,,,,,,,,,,,,
"- OMG! Wow! A truely revolutionary idea. Let's go!""",@touhidulislam423,183,2024-07-08T16:46:38Z,negative,True,False,,True,negative,False,,False,,False,,False,,
Ugynoj1gAofHyvke-8p4AaABAg,"""Love that white and orange room scheme they made for this video. Very vibrant""",@Jazzy_Waffles,4,2024-07-08T22:03:24Z,positive,False,False,,False,,False,,False,,False,,False,
Ugz8e1X4rX-m5mO94N14AaABAg,"""Phone on a lanyard is extremely popular in Japan.",,,,,,,,,,,,,,,,,
