comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
Ugwg14yF1PE7kVVC6jp4AaABAg,I definitely think we've reached a point in smartphones where yearly releases aren't necessary and maybe every other year should be released,@sydguitar99,13254,2023-02-01T20:53:10Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzUlaHFINZenHFWpdd4AaABAg,I understand why most people aren't excited (there's moreso improvement than innovation this iteration) but I'm upgrading to the Ultra from an S10+ so I can't help be a tiny bit hyped 😆,@mellbellsringing,236,2023-02-01T19:28:24Z,positive,True,False,,False,,False,,False,,False,,False,
UgzDvMbedNExdM66cep4AaABAg,You know the improvements are tiny when even the Galaxy S21 ultra could pass as a 2023 flagship.,@MsMRkv,5927,2023-02-01T18:24:09Z,negative,True,False,,False,,False,,False,,False,,False,
Ugy2-gz_ThYcT-Eai1h4AaABAg,The fact that the camera is integrating with social media finally is a game changer.. That's been holding a lot of people back from making the leap to getting Samsung phones,@Clear256,51,2023-02-01T19:35:59Z,positive,True,True,positive,False,,False,,False,,False,,False,
Ugx6urpOfJOyxpafpvR4AaABAg,Watching on my Galaxy S20 Ultra. I'll keep it another year and wait for the S24 Ultra. Just recently got the Android 13 update so I think I'm good with this phone another year.,@janelles.2659,128,2023-02-01T18:11:47Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw28krpTjCVEcKmXMF4AaABAg,I have skipped samsung for a while because of them using exynos in my region (europe) and Im very happy they decided to use the snapdragon in europe now for the first time! Also my carrier gives a great discount so this might be the one to replace my S10+,@WSY01,84,2023-02-02T06:43:52Z,positive,True,False,,False,,True,positive,False,,False,,True,positive
UgyOTVke1ZB6xsf3NHt4AaABAg,Great video! I honestly still prefer the S22 (and S21 Ultra) camera bump to protruding cameras; otherwise it looks more like an A13/A14.,@trey_a_12,164,2023-02-01T18:28:10Z,mixed,True,False,,False,,False,,False,,True,negative,False,
Ugy3riYuaqfI1EVwUHZ4AaABAg,This is so similar to last year's line-up I feel kinda dumb for waiting for this with excitement :( But I like the Ultra being more boxy 🌚❤️,@Bmontepeque11,414,2023-02-01T18:33:13Z,mixed,True,False,,False,,False,,False,,True,positive,False,
UgxC0TrQubO3MyNzEUJ4AaABAg,Still rocking the S21 ultra. I really don't find a need to upgrade cause it's really just the cameras and an s pen. I hope next year they push the envelope again,@kodakchris7711,87,2023-02-01T18:42:32Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgxNEM1EDUBbfQHh6ZF4AaABAg,S23 Plus looks very fitting only because of the battery life. I just prefer the smaller size phones but since I use it for my youtube videos I guess some battery boost will help me. Also very happy they're using Snapdragon gen 2 on these.,@665Iron,146,2023-02-02T23:05:21Z,positive,True,True,neutral,True,positive,True,positive,False,,False,,False,
UgxI_n9ZGMeJe0tcXZl4AaABAg,4:49 you can always turn on the show refresh rate feature in the developer options. That way you can always see exactly what the refresh rate is at any given moment.,@DanielGyimesi,24,2023-02-01T18:11:50Z,neutral,True,False,,False,,False,,True,neutral,False,,False,
UgxHem7XXEuUR9JZrj94AaABAg,"""I am coming back to Samsung family since my last S8 and S6 edge (which both had lots of issues especially the chipset and overheating issues). Over here in my region the previous models were all exynos which were far inferior than SD. Fingers cross that this S23 Ultra will be the ultimate game changer!""",@domq1543,20,2023-02-03T06:16:15Z,positive,True,False,,False,,True,negative,False,,False,,False,
Ugyx2wW30eq2014HHMJ4AaABAg,That flickering is because some oled displays use pwm (basically flickering) to change brightness instead of dc dimming,@kaukon,8,2023-02-01T18:49:50Z,neutral,True,False,,False,,False,,True,neutral,False,,False,
UgzwgINR-Whc4GA3Hcd4AaABAg,"""The most exciting thing about these devices is the fact that *they finally got rid of the Exynos* for all markets. Finally we (Europeans) get the same performance as you guys. Sadly I bought the S22 Ultra last year. So I will most likely not upgrade this early. (although my current S22 Ultra is showing quite some buggy behavior since I bought it on release.)""",@Pr04basher,44,2023-02-01T19:11:21Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgwQlns0yR3oi0l7KuV4AaABAg,Love that the S23 has a bigger battery. Can't wait to pick one up 9 months from now when its heavily discounted,@manis77,79,2023-02-01T21:52:28Z,positive,True,False,,True,positive,False,,False,,False,,True,positive
Ugza7leFGQ6WYunZVMJ4AaABAg,Im still using a Samsung Galaxy S8+ and have just recently pre-ordered the s23 ultra...a long awaited upgrade,@MrFons42,2,2023-02-03T15:45:47Z,positive,True,False,,False,,False,,False,,False,,False,
Ugy8GaO3BLEub8DoK0R4AaABAg,I'm totally satisfied with my S21 ultra. Gonna rock it until the processor melts.,@marlonjenkins7447,180,2023-02-01T23:28:43Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugz2JJKsehm1h29_EzN4AaABAg,I'm on the s20 ultra and I still get full charge in an hour and a half the brightness is fine even on very sunny days. Night time picture improvements is the only reason I could think off to upgrade. I'm thinking about waiting for the next folds to see what they can offer me but right now with the information at hand I have no obligation to upgrade.,@joshuametcalfe7135,10,2023-02-01T19:03:27Z,positive,True,True,positive,True,positive,True,positive,False,,False,,False,
Ugyzz2rCydUXhyZFF6R4AaABAg,So happy I got the S22 Ultra last year and did not wait for the S23U. The upgrade is pretty insignificant and the S22U is holding up pretty well even now :D,@talhafarooqui,38,2023-02-02T04:33:27Z,positive,True,False,,False,,False,,False,,False,,False,
Ugyzfcre7ONCD64ASs14AaABAg,"""Still rocking an S21+ so it feels good that I don't """"need"""" to upgrade. It's always a pain switching phones for me since I have things pretty customized""",@jonathanngo7452,7,2023-02-02T23:49:17Z,positive,True,False,,False,,False,,False,,False,,False,
Ugx-6nkLmzA0NVU68c94AaABAg,Was going to trade-in my S22U in hopes for better battery life and Sammy was only giving $500 for it. The trade-in values aren't great this year for unlocked models.,@MisterWhatWhat,65,2023-02-02T00:12:34Z,negative,True,True,neutral,False,,False,,False,,False,,True,negative
Ugwtd1MnHLgdeUH5As94AaABAg,"""""""samsung phones always feel very fast when they're brand new"""" I see what you did there.""",@mrthomasanderson,61,2023-02-01T21:03:07Z,negative,True,False,,False,,True,negative,False,,False,,False,
UgxWgcs5dpq8sJ5ew_d4AaABAg,I still have the S21 Ultra- looking forward to the Google Pixel 8 Pro; I hope this year's design is flagship worthy!,@Sirsantos,27,2023-02-02T08:36:42Z,neutral,True,False,,False,,False,,False,,True,neutral,False,
