comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzhiDpVIow83oBS9SB4AaABAg,nah it's actually crazy how 500$ phones are called midrange nowadays,@MrUnknownXD,18380.0,2024-05-07T16:26:17Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgxAeuIx7-jXX7Dv_ex4AaABAg,The Pixel 4a was $350 four years ago. This is madness.,@pure_drivel,2840.0,2024-05-07T20:24:29Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgzwlS3xld3mZNOm3IR4AaABAg,The round Spongebob vibes are real.,@Arrekene,6003.0,2024-05-07T16:20:41Z,neutral,True,False,,False,,False,,False,,False,,True,neutral
UgxKvDFRr2EK8hZ9ntR4AaABAg,You're the only person I thoroughly enjoy getting a reviews from. definitely don't burn yourself out! We can't lose you!,@IDrawToothpicks,91.0,2024-05-13T01:42:14Z,positive,False,False,,False,,False,,False,,False,,False,
UgzHcJLrKEjYj6Z1Gxp4AaABAg,Haven't seen a phone review on this channel in forever. It's refreshing 😅,@langa_two,1984.0,2024-05-07T16:19:29Z,positive,False,False,,False,,False,,False,,False,,False,
Ugw8YZFjC_Uu-7lS6hN4AaABAg,"Yes, Pixel 8 had $150 discount. But it was a few days ago. It is priced at $699 now.",@aegontargaryen597,933.0,2024-05-07T19:02:07Z,neutral,True,False,,False,,False,,False,,False,,True,neutral
UgzbRXgXV5vFYrztdGZ4AaABAg,"They could just keep the price of the Pro the same and then lower the base 8 down to the Pixel 8A's price for promotional value. In the future an ""A"" series may not even be needed from Google.",@josephleoned,771.0,2024-05-07T16:20:32Z,neutral,True,False,,False,,False,,False,,False,,True,neutral
UgwqO3v3S0VsX3pTnK54AaABAg,"i'm honestly just shocked by how thick the bezels are, i was comparing them to my pixel 8's throughout the video and i'm wowed by the chin especially😭😭 i did get slightly confused with the data comparisons as i thought you were comparing to the regular 8 (through no fault of your own i lose focus sometimes) great video!",@alwayswatchingvideos4,141.0,2024-05-11T20:36:34Z,negative,True,False,,False,,False,,True,negative,True,negative,False,
Ugz20N5Adl_a-hfIKrh4AaABAg,"I so appreciate that you give the conclusion in a short, concise title.

I still watched the whole video, but I didn't get the slimy feeling that you tried to trick me to click.",@coreyapotter,687.0,2024-05-07T17:39:11Z,positive,False,False,,False,,False,,False,,False,,False,
UgwrMBnH4R0WcRNWLR54AaABAg,"Apple: *has major iPad event*
MKBHD: So here's the new Pixel",@MintyDude,3322.0,2024-05-07T16:25:03Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyrC95W7oVLgPhobxZ4AaABAg,Literally after this video dropped pixel 8 went back up to $699 in the US,@steamynoodle2010,723.0,2024-05-07T21:49:25Z,neutral,True,False,,False,,False,,False,,False,,True,neutral
UgwQgNQHEaEAbX7hYUR4AaABAg,"I like how Marques is keeping these tech companies honest. After enough years of spec bumping and price gouging, eventually consumers will get wise and save their money.",@samuelp7847,103.0,2024-05-09T20:02:10Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgwqAlflgSUuPh-aiyF4AaABAg,"Marques at the end of 2024: ""and the winner of this year blind smartphone camera test is..."".",@cholwinmoe3319,2281.0,2024-05-07T16:33:31Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgzeJi0KVpYQ-FqQxBV4AaABAg,Cant wait to see the Pixel 8a fly past all the $1000+ flagship phones in the blind smartphone camera test later this year 😂,@DiamondMaster115,1771.0,2024-05-07T17:39:44Z,positive,True,True,positive,False,,False,,False,,True,negative,False,
UgyqavRm6IvAsO4N_5x4AaABAg,"I miss the $299-$399 budget option for the Pixels, if they were available here they would be an easy recommendation for non-techy people I know",@WhatsThisOwO,438.0,2024-05-07T17:14:38Z,negative,True,False,,False,,False,,False,,False,,True,negative
