comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgydSfNkjJyvXsunoQ54AaABAg,the instagram issue happens in my oneplus too its an instagram thing tbh,@GamingQuest4510,227,2025-02-02T17:23:22Z,neutral,True,False,,False,,False,,False,,False,,False,
UgwtlRhCJ0eVZ8i_Slh4AaABAg,"15:40 The chip is on the lower end compared to other flagships, it might not be the best for gaming, but my Pixel 9 has had no issues whatsoever with keeping up the 120hz.",@DavidHar,44,2025-02-03T09:01:55Z,positive,True,False,,False,,True,positive,True,positive,False,,False,
Ugy0IEUtAv5xSqExwLl4AaABAg,"I do think the Tensor chip will hold up for seven years, even though it's not as powerful as the competition. I just booted up my old OnePlus 5T with the Snapdragon 835 runs and handles most day to day apps just fine.
With that said, it's so far behind the competition at this point that they should be selling the Pixel at a midrange price point.",@Garrettdx1988,148,2025-02-02T18:49:18Z,mixed,True,False,,False,,True,mixed,False,,False,,True,negative
UgwXcwRDrlOEu-9a2BZ4AaABAg,"People dont talk enough about the improved modem on the 9 series. 

Im in Whitby (near Toronto). Both me and my wife have had the 6, 7, and 8 Pixel series phones on Bell and Telus and the call reception was awful. On the Pixel 6 and 7 series the data was bad too. 

For both of us, the 9 series has dramatically improved on this front. Anecdotally other Pixel users have said the same. Improved modem performance was the reason I switched us to the 9 series...it has outperformed the iPhone 15 and Galaxy 24 users I hang out with as well.",@chriskwarren,83,2025-02-02T17:39:05Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgxrYdGlU1jtJ9graOt4AaABAg,"I got the Pro XL on launch, never ever have I noticed any performance issues at all, its been nothing less than perfect for me and an amazing upgrade from the Pixel 5 and compared to my Samsung work phone its a night and day difference, everything works seamlessly and without bloat. 

Your experience will vary.",@jacksun_jack,18,2025-02-03T21:33:22Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugyh1dNkTJw6QUfb4114AaABAg,"I've only had the Pixel 9 for around a month, but I've been happy with it so far.",@KnoxAgain,59,2025-02-02T18:06:42Z,positive,True,False,,False,,False,,False,,False,,False,
UgzuRC9FyAio-yxn_1N4AaABAg,"Please whoever in the team is editing these videos, stop putting that vaseline bloom filter on top of everything! Makes this video really painful to watch...",@kettusnuhveli,600,2025-02-02T17:08:57Z,negative,False,False,,False,,False,,False,,False,,False,
Ugz77KELb9E3PYYn1F54AaABAg,"Long time Iphone user here. Switched from my Iphone 15 Pro to Pixel 9 Pro, and have not looked back. I really like the ecosystem after getting used to it. Love the fingerprint reader. My biggest gripe is the batterylife and a tad slow cpu.. If Google launches next Pixel Fold with better sealings/IP rating i will go for that :)",@81bestof,7,2025-02-19T18:54:53Z,mixed,True,False,,True,negative,True,negative,False,,True,positive,False,
Ugzk_gH8fffqqfziaf94AaABAg,I've been using Pixel 9 Pro for about 4 months now. Best phone I have ever used. Nothing much to complaint about except may be the battery.,@therobinx20,15,2025-02-03T20:23:50Z,positive,True,False,,True,negative,False,,False,,False,,False,
UgzS9gwK4AlusGS8Pg14AaABAg,why is vid looking like i'm looking through a fogy bathroom mirror?,@ZRay507,284,2025-02-02T17:08:45Z,negative,False,False,,False,,False,,False,,False,,False,
Ugw1MykbPQAiB-JGan54AaABAg,"I live in Phoenix and my pixel 9 has no overheating issues, EXCEPT for when I use Android auto. During the summer it overheats and shuts off rapidly",@lankythedanky,8,2025-02-04T14:28:14Z,mixed,True,False,,False,,True,negative,False,,False,,False,
UgyEBT0d4d-VKJsrrCZ4AaABAg,"I really like your videos, but this one was surprisingly having some issues I would not expect from you. Especially in the AI segment. First the Google Voice search is not the Assistant. It is basically a Google Search with voice feature. It is not the most elegant solution to me, but a different usecase. But then, instead of just instantly talking to Gemini for the Voice Input you start Gemini Live, which is a very lightweight instantly answering no connection to anything service. It is ""just a fancy tech demo of how to talk in real time"". Gemini itself is capable of doing all these things you asked for. By either using Gemini's normal voice input, or typing the request. There it also uses a cloud based image generated, while the one in Pixel Studio is a very lightweight on the phone-ish one. Mistakes can happen, but combined with blaming lazy app ports and some other aspects it feels weirdly ""I did not like the phone and need some reasons to list"" like than the usually pretty informed way. The phone has flaws and should be criticized for them. But mentioning these things as weaknesses with their own segments is just feeling off.",@ponpat91,8,2025-02-02T20:15:04Z,negative,True,False,,False,,True,neutral,False,,False,,False,
UgyrqZfkm5cH7aWhubp4AaABAg,"I miss my Pixel 5, one choice and simple.",@ForeverHumble101,18,2025-02-03T00:20:16Z,negative,True,False,,False,,False,,False,,False,,False,
UgztdSkk51tgRt94l6F4AaABAg,shooting b-roll at the well. a man of class.,@impatrickt,6,2025-02-03T17:57:27Z,positive,False,False,,False,,False,,False,,False,,False,
UgwerOF8O3osGA3rVIt4AaABAg,"We need long term reviews (1-3 yrs frt it's release) of all the phones, to test it's utility and longevity",@s-kri-gen832,6,2025-02-03T14:46:47Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugx28NGyrGxuZ1SIgPd4AaABAg,"googles whole selling point for the pixel 9 is ""here's a crap AI that we're going to charge you monthly for""... i could understand charging non-google hardware buyers for AI access, but they can go to hell if they think i'm going to buy into this novelty, and right now, it's just a novely",@crimson49er,32,2025-02-02T18:05:32Z,negative,True,False,,False,,True,negative,False,,False,,True,negative
UgxpGqgwP492TgKQaJN4AaABAg,"Thanks for the review. For the further Pixel reviews, please also include the front cam night time video performance footages. On whole Pixel 9 lineup (as well as previous ones) the night videos are 100% pouring noise rain, which makes the footage unusable and incomparably when looking at the competition. Google must finally fix this.",@WladVideoChannel,2,2025-02-24T16:43:03Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgzDWt1dc3YA7yYVBvd4AaABAg,I've had almost the exact opposite experience you've had over the last 4 months with the 9 pro and gemini. Even the instagram issues have not occured.,@FredMcHale-k7z,20,2025-02-03T05:16:38Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgzLcwiAnHZvwvX1YyJ4AaABAg,"I've never had that glitchy issue on my pixel 8, then again I got grapheneOS installed.",@cyberxspeed,18,2025-02-02T20:30:35Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgzoUs6UKF-cfqPAFn94AaABAg,Pixel 2XL was peak. RIP.,@thatzaliasguy,33,2025-02-02T18:16:42Z,negative,True,False,,False,,False,,False,,False,,False,
UgwkjyObFh9E--FGP8x4AaABAg,Great review. I've been mulling over upgrading from my Pixel 6 since a little before Dec. Currently eligible for a trade-in/upgrade. This helps a lot! Thank you!,@DancingMachine09,2,2025-02-04T23:35:07Z,positive,True,False,,False,,False,,False,,False,,False,
