comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzLL95GKu0FzIaEnk54AaABAg,The keynote ain't even started properly yet and this madlad already dropped his impressions. Not every superhero wears a cape tho,@MrUnknownXD,14019,2024-08-13T17:05:19Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugww4vG0GJFY_37TJUt4AaABAg,The keynote ain't even started,@kazumakiryu77,16040,2024-08-13T17:01:30Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxsC1yjCPfqda6WJ7B4AaABAg,Who needs a Google event when you can just watch MKBHD,@89ayobami,13309,2024-08-13T17:03:47Z,positive,False,False,,False,,False,,False,,False,,False,
Ugxo2ZmIXcpo982XRQh4AaABAg,That add me feature is pretty cool. I find myself having to take a group photo all the time. A gimmick we can actually use.,@OfentseMwaseFilms,229,2024-08-16T16:20:03Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxDzvmiwB8Y-1kSNup4AaABAg,2:42 kudos to the pigeon for staying in the frame 👏,@dawoodgill2073,7138,2024-08-13T18:09:32Z,positive,False,False,,False,,False,,False,,False,,False,
UgwqGh_9QNxLytXPdpx4AaABAg,That group photo merge is fucking crazy.,@vsznry,1781,2024-08-13T22:14:03Z,positive,False,False,,False,,False,,False,,False,,False,
UgzzQV4dBnFb9V29cep4AaABAg,that fairly odd parents reference was awesome,@tombruzo1494,79,2024-08-16T08:09:39Z,positive,False,False,,False,,False,,False,,False,,False,
Ugx3GptW-6ynQI4Sjh94AaABAg,"7:36 he has a good point when he says, ""What is a photo?"", if we can do all this then the definition of photo is no longer relevant.",@ShahzebKhan-n3e,959,2024-08-13T19:32:38Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzucnWvOtwLULIYS9h4AaABAg,Theres an interview where one of the engineers from Google explained why they went with the new camera design for the Fold. Its in German. He basically said that they want their phones to be symmetrical but the Fold is already asymmetrical so they believed it to fit the design language more,@imlegend8108,503,2024-08-13T23:45:15Z,neutral,True,False,,False,,False,,False,True,neutral,False,,
UgxdJcGgrTT6ogkM5Eh4AaABAg,"That ""Add Me"" photo thing is fun. I can finally take pictures of random people and make it look like I have friends.",@AbbreviatedReviews,834,2024-08-13T20:39:49Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxFab-BuY6Vnr-T2154AaABAg,The keynote can wait,@Philipsfuture,5991,2024-08-13T17:04:07Z,negative,False,False,,False,,False,,False,,False,,False,
UgyvHScRdj6AlasFYqd4AaABAg,I use iPhone and have tones of screenshots like thousand plus. Having a dedicated screenshot app like in new pixel would be game changing,@safiullah3441,63,2024-08-16T18:39:23Z,positive,True,False,,False,,False,,False,,False,,False,
UgxdtGd0Kzf29n-_yHV4AaABAg,I'm sorry but two 100 dollar price hikes in 2 years on a phone that used to cost 600 dollars is just insane! One of the best reasons to buy Pixel phones was the value proposition. That's completely gone now!,@alwayz247,945,2024-08-13T18:51:15Z,negative,True,False,,False,,False,,False,,False,True,negative,
Ugx_rkBuqCw19gW9fOB4AaABAg,"*Google Keynote Starts*

MKBHD : So , I have been using this pixel 9 for a week now... and here are my thoughts",@nchmusic99,645,2024-08-13T17:07:57Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugy-8rbvqRJQWLGlfX14AaABAg,9:45 is this for taking a picture of a kid? That's low-key genius,@60Dan06,668,2024-08-13T18:38:50Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgwxpVwTvHJWXjRxrMJ4AaABAg,You've gotta really love yourself to need a 42MP selfie camera,@RudCh01,6,2024-10-24T01:28:44Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgxVBCpj3MvBuYR4D-t4AaABAg,"1:51 When he said ""Ok, Google has done it"" my Google Assistant turned on LMAO",@firas.jn571,1073,2024-08-13T18:08:30Z,positive,False,False,,False,,False,,False,,False,,False,
Ugx2VXFT5FXzlszhgnd4AaABAg,"That Screenshots app is actually really helpful. At least I hope it works in a way, that it doesn't blend screenshots with your photos, which is great, I really appreciate it. I hate how on iPhone, all your photos, memes you save from Facebook or whatever and all of your screenshots all blend together and there's no way to split them to be their own thing.",@chujackam,227,2024-08-13T21:42:59Z,positive,True,False,,False,,False,,False,,False,,False,
UgzvAtLkow4QfOlA6TJ4AaABAg,Justice for our little froggy in the weather app! Bring him back!! 😭,@kizanko,567,2024-08-13T20:01:23Z,positive,False,False,,False,,False,,False,,False,,False,
UgzjmH4s4xdwgzZwXnB4AaABAg,That Camera bump tho. Needs one of those yellow & black warning strips around it.,@Dampealx7,23,2024-08-16T17:43:35Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgwVMoi0HeXb84MkFhl4AaABAg,"ain't gon lie, the way Google made the cameras on the pixel 9s all 50main 48 Ultrawide megapixles is pretty smart. you just need to pick the one that suits your needs for the rest of the capabilities",@apzlife2836,34,2024-08-15T00:37:22Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgzzWPM6XRgyO6lFBbx4AaABAg,the pixel 9 pro speaks to my heart. a top of the line android flagship in a small form factor.  beautiful,@TheOneDanTek,196,2024-08-14T01:19:50Z,positive,True,False,,False,,False,,False,True,positive,False,,
UgxKclltgEBhlpZx72N4AaABAg,"Screenshots - for business use, I use it very frequently for things like tracking numbers, purchase order checking and approval, product information & images. This screenshot app looks like it will be very useful.",@indobleh,84,2024-08-14T08:02:46Z,positive,True,False,,False,,False,,False,,False,,False,
UgxaAxDOD5aT_yQAAxl4AaABAg,"I ordered the 9 Pro non-XL with similar to what you said: I don't want a giant phone, but I do want all the tech.  Too bad that I have to wait for September for it to ship, but it is what it is.",@blizbiggy,1,2024-08-16T12:09:40Z,neutral,True,False,,False,,False,,False,True,neutral,False,,
UgzXYZLmhRhB5LbJAG,"Can we talk about the 9:43 cartoons on the display while taking pictures? Completely underrated! Anyone with a kid can tell you how difficult it is to get a toddler to watch in the right direction for a photo and this may not work everytime, but it would still help 😂",@welfiblablabla,524,2024-08-14T06:17:29Z,positive,True,False,,False,,False,True,positive,False,,False,,
UgzLAHIv95t-Okp0IzV4AaABAg,Ooh. Glad you really liked the new Pixel Fold hardware. Would love a deeper dive on the hardware from you and an overview of  split screen/ multitaking software.,@LionelGeek,36,2024-08-13T19:59:15Z,positive,True,False,,False,True,neutral,False,,False,,False,,
UgzbcJaIe06Q3PjxYrV4AaABAg,"The design of the old Pixels with the visor look really unique, which is nice to see with smartphones nowadays. I prefer the old ones tbh",@CodexCornerGames,335,2024-08-13T17:06:38Z,neutral,True,False,,False,,False,,False,True,neutral,False,,
Ugz6gzP9aJZ5wklxFXF4AaABAg,Ai features are absolutely crazy in this phone .,@no_one_cares_zzz,1,2024-08-17T11:27:11Z,positive,True,False,,False,,False,,False,,False,,False,
UgzziznuxFHlfF37hZB4AaABAg,5:00 Marques casually searching for lawn mowers and the phone showed nothing then proceeds to show a pic of a lawnmower.,@hungvu451.,562,2024-08-15T15:08:28Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzLQov5LnSZBADHiVd4AaABAg,"“Cosmo and Wanda vibes” 😂

Fairly Odd Pixels?",@michaels8909,930,2024-08-13T17:24:12Z,positive,False,False,,False,,False,,False,,False,,False,
UgyKEHN7zsJ_41b2-4B4AaABAg,"1:53 ""Ok, google has done it."" That turned on my google assistant haha",@laurentiuandreigheorghe5519,240,2024-08-14T03:34:33Z,positive,False,False,,False,,False,,False,,False,,False,
Ugy-zhRbMipvtVQeSUh4AaABAg,"Knowing the weather in Amsterdam is SUPER IMPORTANT so I'm glad for that featureee especially now with AI telling me I might need a raincoat, long sleeve, jacket, t-shirt, waterproof boots, etc.. 😂",@junixie1702,3,2024-08-17T21:27:25Z,positive,True,False,,False,,False,,False,,False,,False,
Ugyr8u4pQe93Gb0NF714AaABAg,That add me feature is kinda sick,@StoickObserver,581,2024-08-14T00:56:31Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgyHi1gzpRjvDA_Xi2l4AaABAg,"I love the thinner uniform bezels on the pro models, except the camera bump that seems to be too big",@NikTek,331,2024-08-13T17:14:08Z,neutral,True,True,negative,False,,False,,True,neutral,False,False,,
Ugx27Pu24Qb6AYN4cs14AaABAg,Adding the person who takes the photo is a pretty sweet detail,@joseurena7116,108,2024-08-15T20:23:35Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgzV2tLW2tlleThn1bF4AaABAg,Is it even fair to call it a phone these days? Don’t you think we should be calling it something else by now? “Smart phone” was fitting like 15 years ago. I feel like it now warrants a new name for this device we all barely use as a phone.,@fvera901,0,2024-08-17T11:02:17Z,negative,True,False,,False,,False,,False,,False,,False,
UgxhkSh4XS1131PJp0h4AaABAg,"Wow. This Pixels look beautiful and like actual flagships. As someone who has always looked at Samsung as the go-to Android flagship king, the Pixel has come back swinging hard. Color, specs, hardware, and software which has always been great. 10/10.",@ericmwangi9130,113,2024-08-13T22:53:59Z,positive,True,False,,False,,False,,False,True,positive,False,,
Ugx_PR3Ba49QnwO6uxh4AaABAg,Screenshots app lowkey gonna be a lifesaver cos saving stuff from gallery to new folders is a hassle,@Wraith.Genesis24,304,2024-08-15T15:31:42Z,positive,True,False,,False,,False,,False,,False,,False,
UgzJz0VhiD_CKFmYBHl4AaABAg,Aint gonna lie these phones look SICK. Clean design,@HBT.,271,2024-08-13T19:50:39Z,positive,True,False,,False,,False,,False,True,positive,False,,
Ugwm4_FYS4sg8AwVax94AaABAg,He is being criticized by other you tubers as he is obviously not very critical of Google. I haven't watched this to know it's basically a paid advertisement.,@gl3832,1,2024-08-17T04:03:03Z,negative,False,False,,False,,False,,False,,False,,False,
UgyCyJMNArI54vYXgwR4AaABAg,"""I.. I think they did it""

The way MKBHD says it feels like hes held hostage by Google",@HeisenbergFam,154,2024-08-13T17:02:26Z,negative,False,False,,False,,False,,False,,False,,False,
UgwStG9LpVZRZXiQHYB4AaABAg,"7:38 ""WHAT IS A PHOTO"" i think it is a title for a future episode.",@VineethNarayanan,223,2024-08-14T01:03:17Z,neutral,False,False,,False,,False,,False,,False,,False,
UgwaKykcIRkBHlA52Kh4AaABAg,"I actually love the idea behind the screenshot app because I don't know how many times I've screenshot something with the injection of looking into that thing later, only to forget.",@kylefunderburk4194,64,2024-08-14T03:49:10Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw_kEV4klPo01bvnfV4AaABAg,"Google needs to update their Instagram app so badly, if they want people to make the switch, they need to improve the fluidity of the app",@Alexlovescolour,0,2024-08-25T00:46:44Z,negative,False,False,,False,,False,,False,,False,,False,
UgxgQFrmbYPk6WWpcrJ4AaABAg,5:10 the 'lawn mower' AI fumble was hilarious,@sahilsinha3415,282,2024-08-13T18:24:38Z,positive,False,False,,False,,False,,False,,False,,False,
UgyuL84Lce1JR7Za5bh4AaABAg,"""What is a picture?"" needs to be its own video.",@omkartodkar7207,41,2024-08-13T17:41:19Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxPhzBGhuYD1lyjozx4AaABAg,"FINALY SOMEONE HAS DONE IT! I've always said why doesn't a phone manufacture release a phone that's small in size but has all the top tier specs. camera, processor ,ram etc. whenever you wanted the premium specs u had to go with a ""pro"" version but that always ment it came in the ""big form factor"" now we finally have a phone that's small but mighty. Thank you Google and thank you MKBHD for the awesome review",@LucasSi919,55,2024-08-14T02:33:31Z,positive,True,True,positive,False,,True,positive,False,,False,,,
UgzU5-rEMU12Yjmg3iV4AaABAg,Highly overpriced. 1250€ for XL 256GB? For real? 1000€ for regular? Who the fuck pays that kinda money for mediocre hardware?,@L1ven,1,2024-08-17T06:12:09Z,negative,True,False,,False,,False,,False,,False,True,negative,
UgwnU6oqV12e7aNqP-F4AaABAg,"1:53 Marques: ""Okay Google's done it""

Google Assistants in my home: ""Sorry, I didn't understand.""",@jtr159,288,2024-08-13T17:15:08Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyF_hihQyVM7DbI-wl4AaABAg,"""what is a photo?""  should be a motto",@bryanbantar9742,17,2024-08-13T22:49:15Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyY7Jg6b8ditmhjfsp4AaABAg,"That ""Add Me"" photo thing is pretty cool 👀",@StoriesNyTV,448,2024-08-13T17:40:00Z,positive,True,True,positive,False,,False,,False,,False,,False,
Ugwmmc8ds9sHeC3Ld_Z4AaABAg,Enjoy using Android with Pixel 9 and we are waiting for it in Persia 🔥,@arman.zibrooz,0,2024-08-17T10:17:23Z,positive,True,False,,False,,False,,False,,False,,False,
UgxMNMnrWQpOPivqKn14AaABAg,"Can Google make me a phone that doesn't overheat? My Pixel 8 gets really hot and the camera app constantly crashes; on a phone named Pixel. Fix your shit first, Google",@chunkychuck,45,2024-08-13T18:21:39Z,negative,True,False,,False,True,negative,False,,False,,False,,
Ugz58yGKiKpTS51w2Hx4AaABAg,"Pixel Ai said *NO* I can't find *Lawn Mower* For you, when it's there in the screenshots 😂",@BOSSisBACK54,188,2024-08-13T18:21:18Z,positive,False,False,,False,,False,,False,,False,,False,
UgxaOxgAgqFVmHi78VJ4AaABAg,7:37 im going to put myself next to Obama in his inauguration and scare everyone,@johnayacko8120,219,2024-08-13T17:36:06Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyirzO9D4NnP-fZNJ54AaABAg,"Something that's a major reason for my loyalty to Pixel phones that isnt' talked about much: Google is the only one blocking/screening/reporting spam calls for me and in the background so I'm not hassled. I tried switching to phones that had better hardware, cameras, etc., but none mattered when I was getting constant spam. Now with improved Gemini, I can only imagine their golden handcuffs will remain firmly around my wrists.",@TheNorthPace,0,2024-08-17T18:34:21Z,positive,True,False,,False,,False,,False,,False,,False,
UgxDmzXzEiIJ8QZxokR4AaABAg,"$800 for entry level flagship phones is silly.. $1000 for pro version is idiotic, $1100+ for the pro large version is a scam
I hate companies for following Apple footsteps for pricing phones with 2x their real selling prices
Same goes to no charger & no earphones.. Apple runied the industry
Upper-midrange phones now are the real deal.. $400 to $550 seems reasonable, they even come with charger & screen protection & case..etc",@Jack_Sparrow131,45,2024-08-13T18:20:43Z,negative,True,False,,False,,False,,False,,False,True,negative,
UgzdmbGtNAu3ekGKh-x4AaABAg,"-google embargo : you can upload at ...
-mkbhd : uploading",@leonardobasbous7298,136,2024-08-13T17:14:48Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxXYpZ09e2TRfHYVP54AaABAg,the Pixel 9 looks like an iPhone 14 Pro leak concept with a crazy camera hahaha,@NoahHerman,63,2024-08-13T17:15:57Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxMaQUSIQW53zLSdbV4AaABAg,this feels like a video from the end times with all this weird ai stuff in all of these,@imjuststardust5079,0,2024-08-16T17:28:35Z,negative,False,False,,False,,False,,False,,False,,False,
Ugy-HNGewXZTzB6RJgR4AaABAg,5:16 the lawn mower bit was devilish😂,@lakshyaagrawal845,345,2024-08-14T02:26:26Z,positive,False,False,,False,,False,,False,,False,,False,
Ugw_4X_160sboWwgjnJ4AaABAg,The pixel 8 doesn't even have all the features they promised in last years keynote and they release a new phone with even more features. Okay Google!,@preabo,29,2024-08-13T19:48:46Z,negative,True,False,,False,,False,,False,,False,False,False,
Ugwb9moBjNAVlMSiLAF4AaABAg,"Nice. Most wanted feature: the ability to have two languages for voice search, and automatic detection which one you're speaking. It would be a waste of resources to use AI for this, it would be more reliable with just two different assistant phrases. Typically it involves open hours and how do I get to store X while driving.",@BaldingEagle51,12,2024-08-14T13:47:06Z,positive,True,False,,False,,False,,False,,False,,False,
Ugxt-4KVCLhLENDTVnN4AaABAg,"Whoever came up with that design.
Should be fired ASAP",@luciferjohnson8495,0,2024-08-16T19:34:24Z,negative,True,False,,False,,False,,False,True,negative,False,,
UgyMhYLUKZDx7Nt42514AaABAg,8:48 that subtle fade when opening the inner display is a great idea,@szmr,16,2024-08-15T10:18:45Z,positive,True,False,,False,,False,True,positive,False,,False,,
Ugwff2bTWUCjtmjigRt4AaABAg,MKBHD delivering us info before the keynote even out 😂,@乂,350,2024-08-13T17:56:51Z,positive,False,False,,False,,False,,False,,False,,False,
UgwHZvd__TQo6Rg5eLZ4AaABAg,Google search bar camera bump 😂. Well done !,@lsdlaka,29,2024-08-14T07:30:43Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgzrNeEAZcrqEwARFj54AaABAg,biggest L in india for googlel pixel lovers youdont get the sweet Pixel 9 pro you either get the pixel 9 or the pixel 9 pro XL. Congratulations Google. you have messed up the indian market once again.,@VenkateshJ-b7m,0,2024-08-16T17:35:40Z,negative,True,False,,False,,False,,False,,False,,False,
Ugyg6GMPtTl8Jd5ChO14AaABAg,"Omg, that screenshots app actually sounds amazing to me!! I screenshot soooooo much and then can never find it when I need it haha!",@chloegarcia4310,17,2024-08-14T21:08:42Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw11lOTArvhSv3MV014AaABAg,I like how the screenshots app couldn’t find the lawn mower when it was obviously in the album lol. Great first impression!,@theslimreaper,15,2024-08-13T19:37:24Z,positive,True,False,,False,,False,,False,,False,,False,
UgzS0SSTAonSdHmWl3V4AaABAg,"I did not expect the 4 GB increase in memory, that was insane",@DiamondMaster115,67,2024-08-13T17:38:48Z,positive,True,False,,False,True,positive,False,,False,,False,,
Ugw5L9HMqU4lNdPC_RF4AaABAg,"That fact that google is afraid to release it globally in other regions as well, says that their products simply cannot compete. They only make subpar overpriced products",@edcAdventures.,0,2024-08-17T13:05:26Z,negative,True,False,,False,,False,,False,,False,True,negative,
UgxdEhzqdEiT9yLQdqN4AaABAg,"I switched from Samsung to Pixel when the Pixel 7 launched and I've been extremely happy. The Samsung devices are a lot more powerful, but I just love how fast and snappy the Pixel phones are. The cameras are extremely good (especially for photos), and the UI simplicity + frequent updates are nice. 

I'll be getting a 9 Pro XL to replace my 7 Pro.",@FSAPOJake,61,2024-08-14T13:19:40Z,positive,True,True,positive,False,True,positive,False,,False,,False,,
Ugxbwxf7rs8O8ppY-ih4AaABAg,I think the screenshots is going to be super useful for people who like to screen shot webpages or messages for later reference.,@fredrickbambino,12,2024-08-15T19:42:55Z,positive,True,False,,False,,False,,False,,False,,False,
