comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgwBfVaVJZlV4ZzQBAt4AaABAg,"""Do any of you guys ever feel like a specs battle has become pointless and a phone choice is more of a aesthetic and subjective choice now that the performance across the board is excellent? Edit: damn senpai noticed me""",@reycojay243,7209,2024-03-05T12:33:24Z,neutral,True,False,,False,,True,positive,False,,False,False,,
UgxTnpuIh0-uY5s3bzp4AaABAg,"""Just the fact that they're a small company actually trying something makes me want to support them""",@Erindale,1369,2024-03-06T17:21:42Z,positive,True,False,,False,,False,,False,,False,False,False,
UgxdI_aeQJwlt-c-wCt4AaABAg,"""""""Ongoing Thing"""" makes a Cameo. The song never gets old""",@sibirajan4487,583,2024-03-05T12:38:40Z,positive,False,False,,False,,False,,False,,False,False,False,
Ugx8wyYvIvHNHr0fwgt4AaABAg,"""The nothing phone intro shots were slick af! Easily one of my top 10 shots from you guys.""",@arigvi101,318,2024-03-05T15:28:10Z,positive,False,False,,False,,False,,False,,False,False,False,
UgyT-uTCWKaoI9_C52x4AaABAg,"""_I bet that there'll be a truck load of minion cases that'll go perfectly well with the back camera aesthetics.""",@Drarjunmenon,1361,2024-03-05T13:02:12Z,positive,True,True,positive,False,,False,,False,,False,False,False,
UgwHzzZ-f7-FdcUK5ax4AaABAg,"""MKBHD should start its own ad agency with those product intros. Unreal job guys.""",@daniyal.,270,2024-03-05T13:36:21Z,positive,False,False,,False,,False,,False,,False,False,False,
UgytLvZCtOiGd7_PW7h4AaABAg,"""Love how unbiased your every review is..",,,,,,,,,,,,,,,,,
"One request please...can you share your music playlist somehow somewhere..""",@RaashulMadan,32,2024-03-09T18:19:22Z,positive,False,False,,False,,False,,False,,False,False,False,,
Ugw73l1OiM2DtLv9_ol4AaABAg,"""00:01 Budget phones make trade-offs", choose based on your priorities.,,,,,,,,,,,,,,,,
01:39 The Nothing Phone 2A has a unique and unconventional design with LED bars and PCB-inspired look.,,,,,,,,,,,,,,,,,,
03:05 The Nothing Phone 2A is a large-sized phone with a lightweight, plastic frame.,,,,,,,,,,,,,,,,,
04:33 Nothing Phone 2A review: Respectable performance with MediaTek Dimensity 7200 chip,,,,,,,,,,,,,,,,,,
06:07 Nothing Phone 2A offers smooth everyday performance,,,,,,,,,,,,,,,,,,
07:41 The Nothing Phone 2A has customizable lights and music visualizations on the back.,,,,,,,,,,,,,,,,,,
09:15 Nothing Phone 2A has decent cameras and retains most flagship features on a budget.,,,,,,,,,,,,,,,,,,
"10:45 Nothing Phone 2A offers a good budget phone experience despite some hardware compromises.""",@beastboy..,33,2024-03-06T08:21:25Z,positive,True,True,neutral,False,,True,positive,False,,True,positive,,,
UgwTtp15mMR5CSyWDRx4AaABAg,"""Nothing's Marketing Makes it Something""",@arlentuba6446,678,2024-03-05T12:29:37Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxmMYkh1eITyA9BlTp4AaABAg,"""Okay... Let's applaud whoever animated that intro""",@Kai-qi6qe,830,2024-03-05T18:34:06Z,positive,False,False,,False,,False,,False,,False,False,False,
Ugz7WUY2WIB-kOsTQX14AaABAg,"""5:58 The tumbleweed passing by😭""",@bettercalljimmy6404,145,2024-03-19T19:22:32Z,neutral,False,False,,False,,False,,False,,False,False,False,
Ugwthu9g-LPozfupkyt4AaABAg,"""It always makes me laugh listening to people justify needing a """"high performance"""" phone....for what? Better texting? What a laugh.""",@thecrowfliescrooked,44,2024-12-13T17:21:18Z,negative,True,False,,False,,True,negative,False,,False,False,,
Ugy99XxryrHBaA3HVbl4AaABAg,"""MKBHD's video production keeps getting better it's unreal. Massive respect. He never compromises on quality. That intro too 🔥🔥""",@brucec.s.m.9780,88,2024-03-05T15:39:07Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwZiE4g6wUKyt90ju54AaABAg,"""Just wanted to say that the screen recording at 11:03 was a nice touch. Love your videos!""",@treytuttle7717,38,2024-03-06T19:05:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwcNkPCo2MO5Ol_5L94AaABAg,"""Marques being mentioned as a signature of credibility by Apple and now by Nothing is just 🔥🔥""",@syedasrar2072,210,2024-03-05T13:20:49Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwImIFfTBgHiVCpB5Z4AaABAg,"""That “ongoing thing by 20syl” at 6:53 gives a nostalgia of watching your review videos back in 2016. I just can’t express the feeling 🫶🏻""",@Yadav_Shalabh,69,2024-03-05T17:50:51Z,positive,False,False,,False,,False,,False,,False,False,False,
UgyXMwY3toAuM30ya114AaABAg,"""Bro that intro was just one of the best ones🤌🏻🤌🏻. That closeups and the graphics... Man truly amazinggggg🤩👌🏻""",@vishalprakash6757,74,2024-03-05T15:08:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxsODB7vpVJeAY7Nap4AaABAg,"""I will buy nothing to everyone that likes this comment. Trust me",,,,,,,,,,,,,,,,,
"Edit: to the 10k of you that liked hope you are enjoying ur nothing gift 😎✌️""",@hassanimamuh,11882,2024-03-05T16:33:25Z,positive,False,False,,False,,False,,False,,False,False,False,,
UgxwNjuN46ok2XTPrJx4AaABAg,"""They're basically making Pixels for people who don't want Pixels""",@wati_do,15,2024-03-11T17:11:37Z,negative,True,False,,False,,False,,False,,False,False,False,
UgypSSofEgrKDJR_q_J4AaABAg,"""Loved the video.",,,,,,,,,,,,,,,,,
Just wanted to point out that at 5:27 it's written that the Galaxy S23 Ultra has a Snapdragon 8 gen 3 chip," which is incorrect as the S24 Ultra has an 8 gen 3 chip. Whearas the S23 Ultra has an 8 gen 2 chip""",@KeshavMannan,56,2024-03-05T17:13:40Z,neutral,False,False,,False,,False,,False,,False,False,False,
UgwcDRLD9ygQKTth5Wh4AaABAg,"""Insane how Carl Pei can make big channels review a bang average budget phone""",@dweeep03,196,2024-03-05T12:33:36Z,negative,True,False,,False,,False,,False,,False,False,False,
Ugx1J2WhiZa1mS6GDEF4AaABAg,"""3:38 20syl Ongoing Things. That intro music to MKBHD videos was fire back in the days.""",@pratho1,0,2024-03-06T10:56:51Z,positive,False,False,,False,,False,,False,,False,False,False,
Ugx9o8vADRd7kVD749B4AaABAg,"""The synths in the opening monologue are straight 🔥🔥🔥""",@abhimanyudas7621,11,2024-03-05T21:45:15Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxJIPBxDRUnHaDQqJd4AaABAg,"""Daym! Phone companies need to hire you guys for phone shots! That intro was so EPIC!""",@Walking_Adventures691,2,2024-03-08T11:27:47Z,positive,False,False,,False,,False,,False,,False,False,False,
UgzOKWPeUQf3xaCvgMl4AaABAg,"""Just wanted to say that the screen recording at 11:03 was a nice touch. Love your videos!""",@treytuttle7717,38,2024-03-06T19:05:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwcNkPCo2MO5Ol_5L94AaABAg,"""Marques being mentioned as a signature of credibility by Apple and now by Nothing is just 🔥🔥""",@syedasrar2072,210,2024-03-05T13:20:49Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwImIFfTBgHiVCpB5Z4AaABAg,"""That “ongoing thing by 20syl” at 6:53 gives a nostalgia of watching your review videos back in 2016. I just can’t express the feeling 🫶🏻""",@Yadav_Shalabh,69,2024-03-05T17:50:51Z,positive,False,False,,False,,False,,False,,False,False,False,
UgyXMwY3toAuM30ya114AaABAg,"""Bro that intro was just one of the best ones🤌🏻🤌🏻. That closeups and the graphics... Man truly amazinggggg🤩👌🏻""",@vishalprakash6757,74,2024-03-05T15:08:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxsODB7vpVJeAY7Nap4AaABAg,"""I will buy nothing to everyone that likes this comment. Trust me",,,,,,,,,,,,,,,,,
"Edit: to the 10k of you that liked hope you are enjoying ur nothing gift 😎✌️""",@hassanimamuh,11882,2024-03-05T16:33:25Z,positive,False,False,,False,,False,,False,,False,False,False,,
UgxwNjuN46ok2XTPrJx4AaABAg,"""They're basically making Pixels for people who don't want Pixels""",@wati_do,15,2024-03-11T17:11:37Z,negative,True,False,,False,,False,,False,,False,False,False,
UgypSSofEgrKDJR_q_J4AaABAg,"""Loved the video.",,,,,,,,,,,,,,,,,
Just wanted to point out that at 5:27 it's written that the Galaxy S23 Ultra has a Snapdragon 8 gen 3 chip," which is incorrect as the S24 Ultra has an 8 gen 3 chip. Whearas the S23 Ultra has an 8 gen 2 chip""",@KeshavMannan,56,2024-03-05T17:13:40Z,neutral,False,False,,False,,False,,False,,False,False,False,
UgwcDRLD9ygQKTth5Wh4AaABAg,"""Insane how Carl Pei can make big channels review a bang average budget phone""",@dweeep03,196,2024-03-05T12:33:36Z,negative,True,False,,False,,False,,False,,False,False,False,
Ugx1J2WhiZa1mS6GDEF4AaABAg,"""3:38 20syl Ongoing Things. That intro music to MKBHD videos was fire back in the days.""",@pratho1,0,2024-03-06T10:56:51Z,positive,False,False,,False,,False,,False,,False,False,False,
Ugx9o8vADRd7kVD749B4AaABAg,"""The synths in the opening monologue are straight 🔥🔥🔥""",@abhimanyudas7621,11,2024-03-05T21:45:15Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxJIPBxDRUnHaDQqJd4AaABAg,"""Daym! Phone companies need to hire you guys for phone shots! That intro was so EPIC!""",@Walking_Adventures691,2,2024-03-08T11:27:47Z,positive,False,False,,False,,False,,False,,False,False,False,
UgzOKWPeUQf3xaCvgMl4AaABAg,"""Just wanted to say that the screen recording at 11:03 was a nice touch. Love your videos!""",@treytuttle7717,38,2024-03-06T19:05:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwcNkPCo2MO5Ol_5L94AaABAg,"""Marques being mentioned as a signature of credibility by Apple and now by Nothing is just 🔥🔥""",@syedasrar2072,210,2024-03-05T13:20:49Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwImIFfTBgHiVCpB5Z4AaABAg,"""That “ongoing thing by 20syl” at 6:53 gives a nostalgia of watching your review videos back in 2016. I just can’t express the feeling 🫶🏻""",@Yadav_Shalabh,69,2024-03-05T17:50:51Z,positive,False,False,,False,,False,,False,,False,False,False,
UgyXMwY3toAuM30ya114AaABAg,"""Bro that intro was just one of the best ones🤌🏻🤌🏻. That closeups and the graphics... Man truly amazinggggg🤩👌🏻""",@vishalprakash6757,74,2024-03-05T15:08:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxsODB7vpVJeAY7Nap4AaABAg,"""I will buy nothing to everyone that likes this comment. Trust me",,,,,,,,,,,,,,,,,
"Edit: to the 10k of you that liked hope you are enjoying ur nothing gift 😎✌️""",@hassanimamuh,11882,2024-03-05T16:33:25Z,positive,False,False,,False,,False,,False,,False,False,False,,
UgxwNjuN46ok2XTPrJx4AaABAg,"""They're basically making Pixels for people who don't want Pixels""",@wati_do,15,2024-03-11T17:11:37Z,negative,True,False,,False,,False,,False,,False,False,False,
UgypSSofEgrKDJR_q_J4AaABAg,"""Loved the video.",,,,,,,,,,,,,,,,,
Just wanted to point out that at 5:27 it's written that the Galaxy S23 Ultra has a Snapdragon 8 gen 3 chip," which is incorrect as the S24 Ultra has an 8 gen 3 chip. Whearas the S23 Ultra has an 8 gen 2 chip""",@KeshavMannan,56,2024-03-05T17:13:40Z,neutral,False,False,,False,,False,,False,,False,False,False,
UgwcDRLD9ygQKTth5Wh4AaABAg,"""Insane how Carl Pei can make big channels review a bang average budget phone""",@dweeep03,196,2024-03-05T12:33:36Z,negative,True,False,,False,,False,,False,,False,False,False,
Ugx1J2WhiZa1mS6GDEF4AaABAg,"""3:38 20syl Ongoing Things. That intro music to MKBHD videos was fire back in the days.""",@pratho1,0,2024-03-06T10:56:51Z,positive,False,False,,False,,False,,False,,False,False,False,
Ugx9o8vADRd7kVD749B4AaABAg,"""The synths in the opening monologue are straight 🔥🔥🔥""",@abhimanyudas7621,11,2024-03-05T21:45:15Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxJIPBxDRUnHaDQqJd4AaABAg,"""Daym! Phone companies need to hire you guys for phone shots! That intro was so EPIC!""",@Walking_Adventures691,2,2024-03-08T11:27:47Z,positive,False,False,,False,,False,,False,,False,False,False,
UgzOKWPeUQf3xaCvgMl4AaABAg,"""Just wanted to say that the screen recording at 11:03 was a nice touch. Love your videos!""",@treytuttle7717,38,2024-03-06T19:05:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwcNkPCo2MO5Ol_5L94AaABAg,"""Marques being mentioned as a signature of credibility by Apple and now by Nothing is just 🔥🔥""",@syedasrar2072,210,2024-03-05T13:20:49Z,positive,False,False,,False,,False,,False,,False,False,False,
UgwImIFfTBgHiVCpB5Z4AaABAg,"""That “ongoing thing by 20syl” at 6:53 gives a nostalgia of watching your review videos back in 2016. I just can’t express the feeling 🫶🏻""",@Yadav_Shalabh,69,2024-03-05T17:50:51Z,positive,False,False,,False,,False,,False,,False,False,False,
UgyXMwY3toAuM30ya114AaABAg,"""Bro that intro was just one of the best ones🤌🏻🤌🏻. That closeups and the graphics... Man truly amazinggggg🤩👌🏻""",@vishalprakash6757,74,2024-03-05T15:08:03Z,positive,False,False,,False,,False,,False,,False,False,False,
UgxsODB7vpVJeAY7Nap4AaABAg,"""I will buy nothing to everyone that likes this comment. Trust me",,,,,,,,,,,,,,,,,
"Edit: to the 10k of you that liked hope you are enjoying ur nothing gift 😎✌️""",@hassanimamuh,11882,2024-03-05T16:33:25Z,positive,False,False,,False,,False,,False,,False,False,False,,
UgxwNjuN46ok2XTPrJx4AaABAg,"""They're basically making Pixels for people who don't want Pixels""",@wati_do,15,2024-03-11T17:11:37Z,negative,True,False,,False,,False,,False,,False,False,False,
UgypSSofEgrKDJR_q_J4AaABAg,"""Loved the video.",,,,,,,,,,,,,,,,,
Just wanted to point out that at 5:27 it's written that the Galaxy S23 Ultra has a Snapdragon 8 gen 3 chip," which is incorrect as the S24 Ultra has an 8 gen 3 chip. Whearas the S23 Ultra has an 8 gen 2 chip""",@KeshavMannan,56,2024-03-05T17:13:40Z,neutral,False,False,,False,,False,,False,,False,False,False,
UgwcDRLD9ygQKTth5Wh4AaABAg,"""Insane how Carl Pei can make big channels review a bang average budget phone""",@dweeep03,196,2024-03-05T12:33:36Z,negative,True,False,,False,,False,,False,,False,False,False,
