comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzFXK6jvgm-V02kmTh4AaABAg,"""Standing out in a saturated market like this  and still not being a gimmick is a huge win for a any electronics company in 2025.""",@musicbysazid,3807,2025-03-04T17:42:37Z,positive,True,False,,False,,False,,False,,False,,False,
UgyZbQWDafeYuw1yF3h4AaABAg,"""""""they dont have AI summaries or image generation or...""""",,,,,,,,,,,,,,,,,
"Alright you've convinced me. Give me 10.""",@gzurmely,7978,2025-03-04T12:17:26Z,positive,False,False,,False,,False,,False,,False,,False,,
Ugyc-BmjTA0u1Ip_jOd4AaABAg,"""Nothing should name their flagship: SOMETHING""",@alessio4761,15865,2025-03-04T10:45:43Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugyb0nK1h7RwQv8DL314AaABAg,"""2:54 “the optical fingerprint reader is slow” ",,,,,,,,,,,,,,,,,
"**proceeds to unlock the phone instantly**""",@chris_kouts,1745,2025-03-05T03:23:07Z,neutral,False,False,,False,,False,,False,,False,,False,,
Ugw48JoGEthTmFC68TR4AaABAg,"""2:58 """"small prices to pay when you're reminded of the price you pay"""" ✍️✍️🔥🔥🔥""",@spongebobsquarepants5697,2941,2025-03-04T12:53:36Z,positive,True,False,,False,,False,,False,,False,True,positive,
UgxC24kea6mPDiJanw14AaABAg,"""Seeing a new color like blue is definitely refreshing since theyre usually just black qnd white""",@EthannNewborn,3144,2025-03-04T10:33:46Z,positive,True,False,,False,,False,,False,,True,positive,False,
Ugz-kbo78qshcinY67F4AaABAg,"""Love that you’ve sprinkled black and blue stuff in the background.""",@edward.miranda,279,2025-03-05T01:36:38Z,positive,False,False,,False,,False,,False,,False,,False,
Ugy2CUu42-VYL20-83p4AaABAg,"""3:46 Correction -",,,,,,,,,,,,,,,,,
"6 Years Security Updates + 3 OS Updates""",@TheSufiyanTechnology,953,2025-03-04T13:23:41Z,neutral,False,False,,False,,False,,False,,False,,False,,
UgwlypxKZjOwVhVTvDl4AaABAg,"""A compact 6.1 inch Nothing Phone would be an absolute game changer.""",@galacticasapientis,552,2025-03-04T14:48:41Z,positive,True,False,,False,,False,,True,positive,False,,False,
UgzQ3-YqA75WW8Io5jl4AaABAg,"""nothing phone 1 user. No complaints. The software is awesome. i will definitely go for nothing again. Nothing is better than something !""",@SayyEDITH,176,2025-03-05T08:06:20Z,positive,True,False,,False,,False,,False,,False,,False,
