comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgyQI0v237NBmHJ2t_Z4AaABAg,As an apple fan I can’t wait to use this tech in 9 years,@GrantPorter-e3n,3682,2025-01-08T15:43:27Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxizsDjRvd3WRKEvgB4AaABAg,"""4:24 fun fact: Marques almost certainly already has the S25 in his possession.""",@timb6558,12357,2025-01-07T16:48:23Z,neutral,False,False,,False,,False,,False,,False,,False,
UgwX3tYt_eoeAas3vQR4AaABAg,"""Bro's been using this phone since last year and he decided to show us now!? That's crazy""",@harshwashere,15593,2025-01-07T16:48:40Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugxp38eqjhbn2Q3IVNV4AaABAg,"""3 weeks",,,,,,,,,,,,,,,,,
*doing some math* ,,,,,,,,,,,,,,,,,,
Oh so he had this since last year," classic Marques!""",@abdalla8558,4704,2025-01-07T16:44:47Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzjV0N3Hmn9hKTIZ-Z4AaABAg,Product managers have suddenly discovered that consumers would definitely favour phones with a battery that lasts longer…,@FrancisJacquerye,3653,2025-01-07T17:59:35Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzrbjvXHwr3W813paV4AaABAg,Finally a MKBHD Tech video feels like it's been forever.,@TechReviewInsider,4993,2025-01-07T16:54:22Z,positive,False,False,,False,,False,,False,,False,,False,
Ugx-_sCyLirkoyEHODZ4AaABAg,Man finally feels like old MKBHD review with the enthusiasm and pure happiness on Marques' face.,@debz18exe,1432,2025-01-07T20:53:05Z,positive,False,False,,False,,False,,False,,False,,False,
UgyH_0aIDGu1uKE_qsh4AaABAg,I really appreciate that marques doesnt use music while talking abt the phone until the end or in the intro....it really makes me feel like hes actually talking to me/us and doesn't feel like a phone commercial…,@pitbull-wi2uw,28,2025-02-18T07:18:15Z,positive,False,False,,False,,False,,False,,False,,False,
UgxbKo9-CP6T_6egfjZ4AaABAg,THIS is the new phone tech I've been waiting for! Not bigger or faster or AI but a better and longer lasting battery whilst not increasing size or weight.,@thecreedy,330,2025-01-08T14:55:31Z,positive,True,False,,True,positive,False,,False,,False,,False,
UgyStmkhuckm4wJokC14AaABAg,IP 69 and Being in the Dishwasher in the same sentence... Ayoo he cooked here.,@1fatman245,143,2025-01-15T08:15:10Z,positive,False,False,,False,,False,,False,,False,,False,
UgxbOD8OReibBDR4zdN4AaABAg,Marques teasing secretly having the s25 with all these 2025 phone comments,@ImagoDei360,1950,2025-01-07T16:50:16Z,neutral,False,False,,False,,False,,False,,False,,False,
UgwRQjKZFKBxhNPLOGp4AaABAg,He is back to basics! I noticed a theme overall that his script followed old MKBHD videos. I might be wrong but the intro animation too feels like OG inspired.,@siddharthwagh,695,2025-01-07T17:24:30Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzYpznfnwXhTu1NVe14AaABAg,That silicon-carbon battery innovation is a game-changer. It's exciting to see such advancements setting benchmarks for the future.,@AdvantestInc,505,2025-01-07T16:59:18Z,positive,True,False,,True,positive,False,,False,,False,,False,
Ugyds21NtkalDmqGTcF4AaABAg,Just saw Jerryrigeverything throw this phone from a 20ft building and throw it in a hot dishwasher for 30 mins and still came out clean.,@Nomad88Chun,780,2025-01-07T16:54:04Z,positive,True,False,,False,,False,,False,,False,,False,
UgyqtYb0zi7y05u0IvB4AaABAg,"""Marques", you got me into the OnePlus One back in the day. Now, I might leave my iPhone 12 to get the OP 13. ,,,,,,,,,,,,,,,
This review felt so good, natural, it really shows when you really like a phone. ,,,,,,,,,,,,,,,,
"Thank you!""",@cristinelcostachescu9585,97,2025-01-08T09:24:44Z,positive,True,False,,False,,False,,False,,False,,False,,
Ugzass9XGzuneLCVJFd4AaABAg,"""He had me at """"ip69"""" greatest water resistance yet 🤣""",@speedc-,922,2025-01-07T16:49:48Z,positive,True,False,,False,,False,,False,,False,,False,
Ugzp8nRLYIayFQ2FMa94AaABAg,7:40 Dishwasher proof,@PavanKumar-vt8sh,177,2025-01-08T02:15:03Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw_WOP5DLASwZsqJ854AaABAg,"""Been using the Apple my whole life since the IPhone 3GS. About to order the OnePlus 13. Wish me luck""",@mateuszmaliszewski1698,10,2025-02-24T23:35:53Z,positive,True,False,,False,,False,,False,,False,,False,
Ugy6_HJz0NcZWye6oEd4AaABAg,"""7:35  worth noting IP68 and IP69 are separate standards. The 6 means total dust proof. The 8 indicates that it can survive water immersion greater than 1 metre  while a 9 indicates that it can survive high temperatures water pressure jets.",,,,,,,,,,,,,,,,,
"So if a product is listed as IP69 and not IP68/IP69 then it is only been formally tested for pressure jets and not immersion.""",@Naith123,437,2025-01-07T20:52:17Z,neutral,True,False,,False,,False,,False,,False,,False,,
Ugyvbvrb66W2xaTYJYR4AaABAg,"""13:15 ",,,,,,,,,,,,,,,,,
"Has everyone stopped going into Developer Settings and change the animation scale to 0.5x?""",@chiraglokhare,133,2025-01-08T05:01:13Z,neutral,False,False,,False,,False,,False,,False,,False,,
UgwnvSNLLNa6w1Q2OWt4AaABAg,"""Watching this video on my OnePlus 7 Pro. Just purchased the 13 this morning. Very excited for the upgrade!!""",@Alex73154,618,2025-01-07T19:18:04Z,positive,True,False,,False,,False,,False,,False,,False,
Ugx2IJ2BDsoLQMtvDaF4AaABAg,"""Dude thank you so much for reporting the PWM on the phone. Nobody covers it and it's such an important issue for many people""",@c.a.6636,166,2025-01-08T03:09:05Z,positive,True,False,,False,,False,,True,negative,False,,False,
Ugwls6wNd08GX5bKIn14AaABAg,"""I love that you can tell exactly when the embargos for these reviews end and all the reviewers post at the same time""",@kazumakiryu77,220,2025-01-07T17:08:31Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzY52tne6vPrwmOpf94AaABAg,"""7:30 It's IP69. Nice""",@samchen9951,29,2025-01-08T06:21:10Z,positive,True,False,,False,,False,,False,,False,,False,
UgxkcvSaCRuAdQKk_994AaABAg,"""6:27 to the ring", to the pen, to the king,,,,,,,,,,,,,,,
"Where's my crown? That's my bling""",@bazsygamer,22,2025-01-10T21:38:08Z,positive,False,False,,False,,False,,False,,False,,False,,
Ugy4cAV3Ffs3mDzFdv54AaABAg,"""The number 3 in that tilted square (0:12) matching the highlighted element in the new intro... very good""",@pedrofranca9906,21,2025-01-07T18:16:55Z,positive,False,False,,False,,False,,False,,False,,False,
UgzJpbPUIo9AZGqyyzF4AaABAg,"""I missed these types of videos soooo much! This is why I am following you for over a decade!""",@EK-hd7fr,114,2025-01-07T18:02:44Z,positive,False,False,,False,,False,,False,,False,,False,
UgxmnYQM8NEyPfy9qhh4AaABAg,"""You should really do a good midrange video and show off the 13R. It's a great phone.""",@animalhouse8849,4,2025-02-21T05:33:45Z,positive,True,False,,False,,False,,False,,False,,False,
UgwHFFpi4Rmf0z_FdEd4AaABAg,"""Marques teasing secretly having the s25 with all these 2025 phone comments what about the *XAI19P* thing you in it?""",@RezzanGamze,1045,2025-01-07T22:24:41Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugy9x_tDq3HXGHpRde94AaABAg,"""7:32  Sixty 9 and it's nice - Marques Brownlee 2025""",@AparnaSumanth,55,2025-01-07T17:09:49Z,positive,False,False,,False,,False,,False,,False,,False,
UgzH2Ty1YgFepVGUnxB4AaABAg,"""Apple in 2030: We are introducing a new battery technology called Silicon Carbide. ",,,,,,,,,,,,,,,,,
Android Phones: Yeah, we’ve had it for 5 years. ,,,,,,,,,,,,,,,,,
"Media: Oh My God is this revolutionary!!""",@Animeshw,295,2025-01-07T17:21:58Z,neutral,False,False,,False,,False,,False,,False,,False,,
Ugxt_zKEAxcmC0M8EjF4AaABAg,"""Jerry rig: The video is uploaded. ",,,,,,,,,,,,,,,,,
"MKB: YES!""",@Nemesis-b6u,431,2025-01-07T16:55:56Z,positive,False,False,,False,,False,,False,,False,,False,,
