comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
Ugxkk2VgB4WsDtnEVyp4AaABAg,Been using a56 for a week now. Everything's great. Good thing i didn't listen to negative comments from people who haven't experienced using the phone,@leepagarigan2969,154,2025-03-25T19:49:54Z,positive,True,False,,False,,False,,False,,False,,False,
UgzJArOr60cC7KKjg7F4AaABAg,I got this phone today the design looks premium for a midrange phone. I'm loving it 😊,@LVCKY8,38,2025-03-25T19:59:05Z,positive,True,False,,False,,False,,False,,True,positive,False,
UgxDZ4ylQtdsqO-8pp94AaABAg,"I had the A54 and was going to get the A56 but since the SD slot is gone, I decided to shop around a bit and found myself a brand new S24 FE for cheaper than the A56. Looking back, I'm not regretting it one second! The S24 FE is miles ahead. The phone is snappy, swiping and scrolling is buttery smooth and even the fingerprint scanner is super fast. I can tell I no longer have an A series phone in my hand, that's for sure. I think the FE series is my new go-to series",@AndreVRensburg,43,2025-03-25T17:51:53Z,negative,True,False,,False,,False,,False,,False,,False,
UgwGcWjA_D0maEE-BbB4AaABAg,Imagine midrange phone have the last software update and last year 1.2k dollars flagship doesn't yet!,@SHERIF_GHARIB,61,2025-03-25T17:09:30Z,neutral,True,False,,False,,False,,False,,False,,False,
UgySJriR4qGksLWNMpx4AaABAg,"$500, 256gb of base storage, 6 years of OS support, aluminum frame and Gorilla Glass Plus, 120hz refresh rate and 5000mah lithium-ion battery.",@Young_Dab,34,2025-03-25T16:47:45Z,neutral,True,False,,True,positive,False,,True,positive,True,positive,True,positive
UgyfN3DIIaa-IQ5FgRl4AaABAg,"To those commenting about getting a better device for this price. Remember, its not always about hardware. The balance is there and i have been using this device for a couple days now and i have to say its a great device for the average user. Software is packed with almost all the features as the flagship devices.",@marcwilone,198,2025-03-25T16:16:32Z,positive,True,False,,False,,False,,False,,False,,True,positive
Ugw_qpIvz1cmgCkxuZV4AaABAg,"2025 Galaxy A series, just gave me '2019 vibes' 😅😅😅. When phones back cover colors was gradients (like A36) and black camera module (A56 and A36) 😅",@adinnugroho6544,33,2025-03-25T15:54:07Z,neutral,True,True,neutral,False,,False,,False,,True,neutral,False,
UgxnbaDdYsHCyIucBaV4AaABAg,"In most countries, the price of the 8GB or 12GB RAM / 256GB storage variant of the Galaxy A56 is so close to the S24 FE that buying the A56 no longer makes sense",@Forsentv2,92,2025-03-25T15:37:58Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgxayzopUJ9BYRXwnVN4AaABAg,"I'm moving to the A56 from my A52, quite a big jump. I've really looked at other brands because as much as I like Samsung for its features, support, productivity, and reliability, I don't want to be stuck to a single ecosystem.

I think Samsung has really nailed its formula for the A series, that's why despite offering less for the price in terms of hardware compared to other budget and midrange brands.

Google's Pixel lineup has been a really strong pull recently, but Samsung's customization and productivity features are just really good.",@dandandan18,18,2025-03-26T08:22:32Z,positive,True,False,,False,,False,,False,,False,,False,
UgwYUu8d_GTrHszWEqd4AaABAg,128gb base storage with no SD slot is an absolute joke.,@deleqtronica8733,12,2025-03-25T23:15:33Z,negative,True,False,,False,,False,,False,,False,,False,
UgwZDABjeUxHBxh39ql4AaABAg,"Software feature-wise, the Galaxy A56 is a very good phone. But for some reason, Samsung kept the same old & disappointed hardware except the chipset and the selfie camera. The price of the phone is too high. The bezels are not symmetrical(i don't mind the thickness tho), the battery life is average. Image processing need some improvement for all the rear cameras.",@dynamicvibe4248,20,2025-03-25T16:56:10Z,negative,True,True,negative,True,neutral,True,negative,False,,True,negative,True,negative
Ugw50a6ho8IusU1NFmB4AaABAg,The only midrange phone that has 6 years of Software update. People who want longevity of their phone wants this for everyday usage. Perfect balance for all specs.,@nielbayotas7714,5,2025-03-26T04:19:28Z,positive,True,False,,False,,False,,False,,False,,False,
UgyYLFriXzjJJ_mUsah4AaABAg,this phone looks like real samsung Reminds me of S10 with that back glass,@hayasag,0,2025-03-26T00:33:16Z,positive,True,False,,False,,False,,False,,True,positive,False,
Ugzh6IkLZncSPK425I54AaABAg,Great review. Waiting for A36 review,@pranab1993,0,2025-03-31T15:15:33Z,positive,True,False,,False,,False,,False,,False,,False,
UgwG8KFYWIc4aQ2c4K54AaABAg,"I own an A55 and I couldn't be more satisfied with my handset. It more than delivers for me in all areas and still feels like an amazing handset that hasn't been fully explored. It's definitely on par with some of the more pricier and powerful smartphones when it comes to the actual build that's for sure. It boasts a beautiful build, feels premium. If you need a solid, reliable modern smartphone that can handle all your day to day tasks this will crush all that. The A56 will most likely feel even better with its enhancements and new chipset so yeah I'd defo recommend going for the A56 if you're looking for a new phone.",@The-Great-Brindian,0,2025-03-29T07:23:15Z,positive,True,False,,False,,True,positive,True,positive,False,,False,
UgwDyimWzVGX6X1YMcd4AaABAg,The A55 got cheaper I bought that instead,@stevenbaksh5545,10,2025-03-25T16:46:05Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgyWKqD-7x1n8rD-_Il4AaABAg,Finally eh it took U so long ❤,@Suwe-b9c,0,2025-03-25T17:19:10Z,positive,True,False,,False,,False,,False,,False,,False,
UgyE__nyqMKrwT-sPQF4AaABAg,"Removing SD card is the deal breaker. Why Samsung copying Apple? The last great flagship from Samsung was S10+. Had everything, from every feature to a really beautiful design. I hope Samsung comes back on track. Instead of their CEO apologizing to the users for lack of innovation and stuff, they should actually do that and stop anti consumer practices.",@gerry4495,2,2025-03-28T19:55:35Z,negative,True,False,,False,,False,,False,,False,,False,
UgxBEUmPSP5N8aFEhxd4AaABAg,Got the A55 for both my parents. Great midrange phones with hardly any compromises which they would feel left out on. I bet this A56 with even more years of updates definitely worth it.,@tmifb9926,20,2025-03-25T15:30:19Z,positive,True,False,,False,,False,,False,,False,,False,
UgwKKauTio3Ez3AwUVt4AaABAg,"Absolutely no reason to buy it at this price, when you can get the much better S24fe for the same price or even less.",@srosner0,13,2025-03-25T19:19:31Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgzqSetEMb249VYD1Dp4AaABAg,Thanks for this review. Can you tell me when the video review of the Oppo reno 13 5G will be available ?,@rachid2811,2,2025-03-25T18:01:08Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzmNgI-_HouItJSjc54AaABAg,"Removing the microsd is so stupid, especially with still offering only 128GB and 256GB. It's just another anti consumer practice. Got the A55 instead.",@supernova1163,28,2025-03-25T19:38:44Z,negative,True,False,,False,,False,,False,,False,,False,
UgzulS-jV2OvLwcOtEd4AaABAg,Awaiting your A36 review,@ZuberSayed-h7e,0,2025-03-30T12:51:12Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugw8g3nsS7HRB2it0dt4AaABAg,I love Ur videos the are amazing ❤❤❤❤❤❤❤,@SuperChiko28.,0,2025-03-25T18:08:25Z,positive,True,False,,False,,False,,False,,False,,False,
UgzZ7_98iHdZ_YDJ9fl4AaABAg,"Been using this phone for a week. And so far, i dont have any complaints..",@sols9019,0,2025-03-26T12:15:51Z,positive,True,False,,False,,False,,False,,False,,False,
Ugxf-VZ8plvSzwL-fpt4AaABAg,Make a video The Samsung A56 vs Last year A55,@razernesh,4,2025-03-25T17:27:48Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugx6JTYZsviLBxZHBDN4AaABAg,Do get the A26 and A36 for a review please.,@terrancetomes8471,3,2025-03-25T16:18:35Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzATNx2v7BtJEBAJNJ4AaABAg,"To be honest the a55 and a56 is the best mid phones u probably can buy in the uk, they are both basically the same while the a56 has improved ai features 3:06 not in the a55",@Nanobread471,2,2025-03-29T08:13:26Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugy5MqnyTkkJ0Vg02vN4AaABAg,i'll be - day i knew it existed day you reviewed.,@TheKeithvidz,0,2025-03-25T21:28:09Z,positive,True,False,,False,,False,,False,,False,,False,
