comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgwJTBfrKOFh94x4qP14AaABAg,Our One UI 7 video is up in a mobile aspect for your phone: https://youtu.be/CG3qH-sLmyk,@GSMArenaOfficial,1,2025-03-18T09:53:02Z,neutral,False,False,,False,,False,,False,,False,,False,
UgzVcGxzE7ACpjsWfBx4AaABAg,This is a nice phone! 7 years of OS update is amazing! Cool video! 👏🏻,@NepuniLokhoInst,127,2024-10-16T05:19:25Z,positive,True,False,,False,,True,positive,False,,False,,False,
Ugwo_vc-NHhs7_3gNuh4AaABAg,I just got this a few days ago at Best Buy for $575 in the mint green. I love the phone and doesn't lack anything. Super fast and smooth and great screen.,@joshuapark1749,37,2024-11-05T22:47:01Z,positive,True,False,,False,,True,positive,True,positive,True,positive,True,positive
UgyKpzPY5dyTbvjNJGV4AaABAg,I think Samsung didn't need to drop FE model every year. Once in every two years with great price to performance ratio would sell like hotcakes,@leewalker23,184,2024-10-15T23:26:03Z,neutral,True,False,,False,,True,neutral,False,,False,,True,positive
Ugy5JmR2yFuojkduPbR4AaABAg,Bulgaria is the best choise for taking a photo!,@emilboyanov4663,6,2024-10-20T16:50:09Z,positive,False,True,neutral,False,,False,,False,,False,,False,
Ugz6xAIx0bKPiIRoC6R4AaABAg,"""There's freaking no point buying this in my country. S23 FE cost half the price of the S24 FE While the S24 256Gb is only $100 more expensive thwn the S24 FE. The storage isnt even expandable.""",@HIHIHJIHIHIH,49,2024-10-15T17:10:06Z,negative,True,False,,False,,False,,False,,True,negative,True,negative
Ugyx5-ZeLyc_LRCU9Ol4AaABAg,I had the S21FE and thought that was a pretty good phone that also took great pics but these newer models are just too big and heavy now. I prefer smaller and lighter for my pocket,@nextfall1047,5,2024-10-16T12:54:07Z,mixed,True,True,positive,False,,False,,False,,True,negative,False,
Ugz4Z9Rt_t9cR4QBBYx4AaABAg,Got mines on a pretty good deal. For most though just look at the older S24 models. Overall a good phone in my use though.,@barcelona2170,6,2024-10-15T16:53:33Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgxAxvbmMADoDutPMC14AaABAg,Just bought a new S24FE 256Gb in Blue... very happy :),@geoffh784,0,2025-03-31T06:49:32Z,positive,True,False,,False,,False,,False,,False,,False,
UgznM4yeXicpcdUW2Ad4AaABAg,Just got the s24fe because it was a deal lol... been using iPhone for a long time and still using. .. this is for business purposes. So far so good.,@losv8415,2,2025-02-01T04:51:44Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgyUiaN-n5lOS6YGB6N4AaABAg,I miss the days when there was a gloss black colour option for these phones....,@lindokuhlemdlalose9723,2,2024-10-16T06:49:19Z,negative,True,False,,False,,False,,False,,True,negative,False,
UgwSUO_-VhVcmSYGHJZ4AaABAg,"""""""Throttled to 52% of its performance"""" 😂""",@hellblazer1972,12,2024-10-15T23:37:18Z,negative,True,False,,False,,True,negative,False,,False,,False,
UgwYmgwdzadofbDzWJt4AaABAg,I just bought the phone this week. I didnt even mean to purchase the 24. My intentions was to start with the 23. But work a 103$ upgrade with tmobile. I cant wait to use it. I gotta get a case for that baby first when i get paid.,@ashtonmack94,0,2025-03-06T04:45:06Z,positive,True,False,,False,,False,,False,,False,,True,positive
Ugy52nIXY3HXxX4KZpd4AaABAg,You forgot the zooming of the camera brother which is I waiting in uour video,@amateurboxing4806,0,2025-04-01T06:02:01Z,neutral,False,True,neutral,False,,False,,False,,False,,False,
UgwYDGmpSFg_nNFkZVt4AaABAg,I'm stuck on if I should get this or the iPhone 14. I've had both iPhone and android. I honestly like android better but I need something with a good battery life and camera quality. Any opinions on which would be best?,@MrsWilliams1995,2,2025-01-12T22:54:45Z,neutral,True,True,neutral,True,neutral,False,,False,,False,,False,
UgzZM5HGW1wGhkW8w1F4AaABAg,Got mine now ❤❤ thanks to my hubby❤,@RaquelFabian-z6j,4,2024-10-25T09:50:05Z,positive,True,False,,False,,False,,False,,False,,False,
Ugz10g0u2zbYA2NHRJl4AaABAg,7 years of updates but no expandable storage. What happened there,@altaafkader9675,1,2024-11-02T00:40:30Z,negative,True,False,,False,,False,,False,,True,negative,False,
UgxgWqcNJ0jdSjVqB_t4AaABAg,samsung is always a good deal since their phone actually last more then 4 years,@Mitke420,2,2025-02-03T08:36:45Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgzLKexsTVgzD1_kFRR4AaABAg,Watching this from my Samsung Galaxy 24 Fe,@megmeg2949,11,2024-10-17T13:58:26Z,neutral,True,False,,False,,False,,False,,False,,False,
UgyzyGuArqVllanSXdt4AaABAg,Good thing I am getting this phone📱,@Alaniszesty123,0,2024-12-18T02:03:32Z,positive,True,False,,False,,False,,False,,False,,False,
UgxRFjWHEeLJUqZYGHZ4AaABAg,It's 'Fan Edition' but most fans won't be a fan of this thing and I'm a Samsung fan myself.,@xidney,24,2024-10-15T18:50:31Z,negative,True,False,,False,,False,,False,,False,,False,
