comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgwwbrvblZkBm1MV46h4AaABAg,Samsung: no need to innovate BlackBerry: we thought that too,@mitchelcline9759,18053,2025-02-05T23:19:59Z,negative,True,False,,False,,False,,False,,False,,False,
Ugx4mpxdIxOjFH8-Fld4AaABAg,"The bluetooth downgrade of the S Pen is a huge disappointment. Being able to take photos from a distance, etc. was definitely a bonus.",@Morkala,12921,2025-02-05T22:32:19Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgwUyQPGqb8bsvn1e594AaABAg,"From ""Why would you buy anything else"" to ""You could buy anything else"" is a considerable step-down",@youtubepremium5799,6574,2025-02-06T06:48:13Z,negative,True,False,,False,,False,,False,,False,,False,
UgyBFqjP0Piv-aXNwo14AaABAg,"I remember being in highschool in 2014 and being so excited about every new big phone release, what an exciting time for huge leaps in phone technology",@Trippyisop,388,2025-02-13T22:16:48Z,neutral,True,False,,False,,False,,False,,False,,False,
UgwUd_7v8EXX9idOuTx4AaABAg,This is why Apple and Samsung people gotta stop fighting. Megacompanies are all the same in the end.,@Jhud69,6465,2025-02-05T22:24:47Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzXD5mgllVyDf-I3f14AaABAg,"Who cares if ""only 1%"" were going to use the S-pen feature. The Ultra phone was made and priced for the 1%. If they keep removing features one by one, then can it even be called the no compromise Ultra phone?",@jivewig,7410,2025-02-05T22:20:54Z,negative,True,False,,False,,False,,False,,True,negative,False,
Ugz8dh8-GEPYL3xfjmt4AaABAg,"10:55 Samsung, if you're going to ignore everything else from this video, this is the ONE thing you should take away. the ""Ultra"" is supposed to be the undisputed BEST phone you can buy. That is the whole point.",@YabrakProds,1993,2025-02-05T23:29:22Z,negative,True,False,,False,,False,,False,,False,,False,
UgwqUEJk8Q_4RD132hx4AaABAg,"The biggest disappointment in this year's galaxy unpacked was the Ai, they couldn't go one sentence without saying it. I sat there watching like,  ""But what about the fucking phone!!""",@HpToujoursPur,67,2025-02-18T21:31:47Z,negative,True,False,,False,,False,,False,,False,,False,
UgzCdIVvOXYUpRKGBEF4AaABAg,"When he pulled that knife out, I thought he was about to pull a jerryrigeverything 🤣 1:05",@josedavidworship,5289,2025-02-06T03:10:23Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxO_Wro4g7LBc6u4-t4AaABAg,"""Marques with a knife isn't real, he can't hurt you"" Marques with a knife:",@HenrikoMagnifico,8117,2025-02-05T22:22:39Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyYF4VrXzoZNXTv5QF4AaABAg,"Amazing how lack of competition in Android market makes Samsung to do things like this. 1300$ phone and they cut 0.5$ feature that already has R&D paid. Meanwhile they spend a lot on developing bloatware apps. We need LG and HTC back on the market. And about removing features… i have a defibrillator at work because it’s a busy space. In the last 3 years as far as i know, it wasn’t used by no one. However when somebody will need that, we know it’s there. Taking a photo with the S-Pen it’s probably something you do only at Christmas family gathering but that 1 minute in a year it’s important. Well done Samsung.",@liviurosca,1911,2025-02-06T06:03:37Z,negative,True,True,positive,False,,False,,False,,False,,True,negative
UgyDAmtWSnpSGItwNoB4AaABAg,"Nobody wants all this AI crap to begin with and now they wanna charge for it? Get fucked Samsung, we're sick of being nickel & dimed while you continue to cut corners & costs",@nickloss,82,2025-02-21T06:49:22Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgxJCQHDTh1Gu4E4BfR4AaABAg,Now they're truly competing with Apple by not innovating.,@Poonkin,1273,2025-02-06T06:14:43Z,negative,True,False,,False,,False,,False,,False,,False,
Ugy6aJjBIKeD-ZGuq6V4AaABAg,It's awesome how Marques innovated more for this video than Samsung did for the S25 series,@HydroVector13,2408,2025-02-06T00:00:10Z,negative,True,False,,False,,False,,False,,False,,False,
Ugyvgu5hKavhuyq6yHl4AaABAg,"Watching this on my Note 9 with a heart rate sensor, an S pen that has Bluetooth, external SD slot and an AUX port for emergences when my galaxy buds have no juice left. Every time I think of upgrading to a newer model it fells like I'm downgrading.",@mgh3505,2108,2025-02-06T09:55:36Z,negative,True,False,,False,,False,,False,,True,negative,False,
Ugy9P5jK8vMpWBmzmX94AaABAg,"When Huawei was on the scene, everyone was afraid and competing to offer the best... but when Huawei left, we started seeing the same device every year with higher costs!",@youmind9097,6,2025-02-23T05:07:02Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgzteX0GYDgx7TASqqN4AaABAg,"I can't blame Samsung for cutting costs by removing SPen bluetooth, i mean, the phone only costs a measly $1299",@ahzhd423,2459,2025-02-05T22:19:59Z,negative,True,False,,False,,False,,False,,True,negative,True,negative
UgxMMCNQLv63Fql5pI14AaABAg,"You can feel that Marques is speaking as a disappointed fan here, I could almost feel his pain 😂",@benmatt8940,1751,2025-02-05T23:46:48Z,neutral,False,False,,False,,False,,False,,False,,False,
UgyCzqsqHLx_horhvO94AaABAg,"As a samsung user for last 5 yrs. I hope sales plummet with the S25, this phone was a middle finger to us Samsung lovers.",@MrXrisd01,1019,2025-02-07T04:22:52Z,negative,True,False,,False,,False,,False,,False,,False,
Ugz8_rTAmZdmEvEr0aB4AaABAg,@Marques: I love that you're keeping it real! Please don't ever change.,@sabofx,91,2025-02-10T22:53:59Z,neutral,False,False,,False,,False,,False,,False,,False,
UgwswQxCP_e8jwLIyjZ4AaABAg,the intro is fireeeeee 00:00 to 1:20,@Yessjamal,2185,2025-02-05T22:24:03Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugz0b6isjHJFz4u16tB4AaABAg,"I feel sorry for people who were saying 'I am waiting for the S25 Ultra' even before the phone was announced. I guess they can get the old one for a lower price, at least.",@YOLOBNB,971,2025-02-05T23:32:48Z,negative,True,False,,False,,False,,False,,False,,True,positive
Ugw2NB2Lm9Bm7_WS__94AaABAg,"Samsung has become completely misaligned with their power user customers. Focusing way to much mediocre AI features, while also removing S Pen Bluetooth, not upgrading key specs like the RAM/Battery, and intentionally downgrading things like the telephoto and selfie cameras from previous years does NOT make this phone worth $1300...",@DiamondMaster115,670,2025-02-05T22:38:22Z,negative,True,True,negative,True,negative,False,,False,,True,negative,True,negative
UgxEwe79vsSQ3GK_32R4AaABAg,"As a long-time Samsung user, I love this review. Take them to task as they continually lay it up, year after year with these flacid bumps in improvements with massive price tags. I'm still rocking my Note 10+ 5G because its the last phone they made with expandable memory. To think Samsung made its mark by creating a great phone that offered both expandable memory and the ability to swap out your battery on the fly. Now they're basically just iPhone with almost zero deviance.",@MrCucamonga1,59,2025-02-13T17:26:32Z,negative,True,False,,True,negative,False,,False,,False,,True,negative
UgyeoYtgAwWzq98VAq14AaABAg,"If you're coming from an S20-22, this is a huge upgrade, if you have the 23 or 24, you have a fine device already.",@nickbromhall,1864,2025-02-05T22:21:13Z,neutral,True,False,,False,,False,,False,,False,,False,
UgyrgizgYL41HWyKcxl4AaABAg,Most people with S23U & S24U can just buy camera rings to make their phones look like S25U also enjoy S-Pen with bluetooth remote.,@AkashYadavOriginal,799,2025-02-06T05:02:09Z,neutral,True,False,,False,,False,,False,,True,neutral,False,
UgwNvQcjhs3IwhuLfLl4AaABAg,Before : removed headphone jack S24 : removed curved display S25 : removed bluetooth S26 : 404,@anonymous_devil3730,514,2025-02-06T03:46:26Z,negative,True,False,,False,,False,,True,negative,True,negative,False,
UgxughIiyF2P19g7_MJ4AaABAg,"im upgrading to an S25 ultra from an S10+, honestly even though it's not the ""best"" phone as he says, its still gonna be a huge upgrade for me so ill still take it",@samjesus8,1,2025-03-25T19:07:17Z,positive,True,False,,False,,False,,False,,False,,False,
UgxH0DNEwptXnuNDU-R4AaABAg,"Maybe this is a skip year for Samsung. They tried to pull these anti-consumer tactics before, with the Galaxy S6 when they tried removing the microSD card slot. They brought it back in the S7 and kept it until the S20. Maybe with enough pressure they'll change course with bluetooth on the S-Pen. You really hit the nail on the head with this critique, the entire point of the Ultra series is that it's the no-compromise phone. It _should_ have a bunch of features that most people don't use, because the few people who do use those features absolutely love them.",@LashanR,143,2025-02-06T13:05:38Z,negative,True,False,,False,,False,,False,,True,negative,False,
UgwEPClQ-vmsNTFLkH14AaABAg,"Samsung just chases Apple at his point. -Apple adds log video? Samsung's gotta have it to. -A 48MP ultrawide on the 16 pro? Damn, better put that quick on the S25 Ultra of ours. -Does Apple have Bluetooth in their stylus on the iPhones? Oh, they don't have one at all..? Well take the Bluetooth out at least, we'll still one up 'em.",@JackMaslovLive,265,2025-02-05T22:46:20Z,negative,True,True,neutral,False,,False,,False,,False,,False,
UgwUZzFNCn_dZC8GH-V4AaABAg,The thing about the S-pen is pure BS. The most used function by all of us who have an Ultra with the S-pen is as a remote to take photos. It's the perfect time to upgrade my S22 Ultra to an S24 Ultra.,@tpg81,542,2025-02-05T22:44:04Z,negative,True,True,positive,False,,False,,False,,False,,False,
