comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
Ugzo9ME9iMeLvMXYpRR4AaABAg,Our One UI 7 video is up in a mobile aspect for your phone: https://www.youtube.com/watch?v=CG3qH-sLmyk,@GSMArenaOfficial,4,2025-03-07T22:31:03Z,neutral,True,False,,False,,False,,False,,False,,,
Ugwk26mJMWVMrScvjlN4AaABAg,I just got this phone today! Switched from my iphone 13 pro max... so happy i did,@Coreylongtin,74,2025-02-09T08:26:14Z,positive,True,False,,False,,False,,False,,False,,,
UgxL5QU9j605iAmh1U14AaABAg,"I've stuck with Samsung for years now, never been a fan of Apple. Ordered my S25 today having been using an S22 for the past few years. I'm happy with them, will always stick with Samsung.",@ashleyellis182,12,2025-03-12T22:43:58Z,positive,True,False,,False,,False,,False,,False,,,
UgxI_H4D82chWDAeY1N4AaABAg,the truth is that the design is fabulous as the previous model and samsung shows respect to customers and gives value to a phone device for a few years,@absolutelypositivefuture,25,2025-02-14T19:05:33Z,positive,True,False,,False,,False,,False,True,positive,False,,
UgzTcwww0mU48G7z83h4AaABAg,"Had mine for a week. For me it's pretty much perfect size. Performance is insane, screen, audio, design all very nice. Like review mentioned it's true that they should have at least added anti-reflective glass from Ultra, but you can get that feature by using official anti-reflective screen protector. I hope in the future we can get all Ultra features (except the pen) in a small form factor. Other companies have already been adding all top hardware specs into smaller devices with iPhone 16 Pro and Pixel 9 Pro. Time for Samsung to do the same. I would buy such a device even if it cost slightly more.",@Glotttis,158,2025-02-07T17:47:09Z,positive,True,False,,False,,True,positive,True,positive,True,positive,False,
UgzwmzaFRtvRhdgMMn94AaABAg,"I've had my S23 since it came out. Haven't felt the need to upgrade despite 2 generations going by. The thing is a beast, I've dropped it a dozen times on hard surfaces, the camera is great, battery still lasts over a day. Samsung really needs to step it up to get me to replace it.",@BravoCheesecake,3,2025-03-31T04:09:13Z,neutral,True,True,positive,True,positive,False,,False,,False,,,
UgyK8FloHtBlZ-D1KBx4AaABAg,"simple clean design.

Best pocket phone size",@PreciousChibwe-p6q,156,2025-02-07T17:02:30Z,positive,True,False,,False,,False,,False,True,positive,False,,
UgwfXg9Xrs4evelni_Z4AaABAg,"Bagged an S24+ for 580$. Then found out that the s25 lineup was released. But knowing the minor upgrades, no regrets.",@rielax04,67,2025-02-08T06:05:50Z,positive,True,False,,False,,False,,False,,False,,,
UgzleHYFbdGjJFmCGY14AaABAg,"Arrived yesterday, i like the reduction in size and performance boost from the S21FE it replaces. Silly discounts they were offering make it a no brainer for me",@creepymcfeel,20,2025-02-09T12:50:05Z,positive,True,False,,False,,True,positive,False,,False,,,
UgxvEfsLWH0GtQSKvP14AaABAg,"Some things that could have improved.
 1). battery capacity with silicon carbide battery. 
2).base storage to 256. 
3).better colors
4). Better display with higher pixel density, 10-bit colour and PWM dimming features",@rikiyrkshkmr,13,2025-02-09T09:02:40Z,negative,True,False,,True,negative,False,,True,negative,False,,,
UgyKlhCPhMyroLaxv5x4AaABAg,Say goodbye S10!  S25 coming up!  You gave me a great 5 years old friend!  😂,@okeedabs3157,69,2025-02-09T06:12:20Z,positive,True,False,,False,,False,,False,,False,,,
UgyAzpJTpWh3x5WucuZ4AaABAg,"I just got mine 2 days ago...... absolutely no regrets !!! I had the 23, which I loved, but I wanted the new chip set and 7years updated. I love this thing..🎉",@ObiDaveKenobi5587,33,2025-02-07T23:11:02Z,positive,True,False,,False,,False,,False,,False,,,
Ugz2YAMEILb4DdArE0F4AaABAg,Love this phone. Much better than the review makes it sound,@AaronCrawford,36,2025-02-07T17:31:31Z,positive,True,False,,False,,False,,False,,False,,,
Ugyyyh7393DYFxY_GPB4AaABAg,The red and blue colors are amazing,@zanweng,5,2025-02-18T00:47:03Z,positive,True,False,,False,,False,,False,True,positive,False,,
Ugz7yRyf2hBaUR5erlF4AaABAg,THE INTRO IS FIRE,@umargabaju,1,2025-03-26T17:06:48Z,positive,True,False,,False,,False,,False,,False,,,
UgzePQ6dV0eGRLlpsr94AaABAg,If it had an improved ultra wide I would have upgraded from my s21fe. But the cameras are very similar. It's the first time I've truly thought that the Pixel is a better option.,@TomUK7,14,2025-02-07T19:59:35Z,neutral,True,True,neutral,False,,False,,False,,False,,,
UgyAEMQecRUITzTaBK14AaABAg,"Watching from galaxy s25, this phone is a beast!!!",@DiffStories9,94,2025-02-07T18:22:25Z,positive,True,False,,False,,False,,False,,False,,,
UgwDPxTkDVJ4ocd0phx4AaABAg,Watching this from my S23 🌝,@manilkashehan793,12,2025-02-07T19:24:35Z,neutral,True,False,,False,,False,,False,,False,,,
