comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgwPhTINV8YyJlPBIqh4AaABAg,damn that zoom transition was the smoothest ive seen,@paimog9233,176,2025-03-02T16:10:06Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgzCgzdG8IpOPc14MX94AaABAg,"I bought 14 Ultra last year. It did not replace my everyday phone, but my travel packet camera (Leica D-Lux 7; with a 4/3 sensor size). The main camera on that phone is that good. I use it with a photography kit, a tripod, and a couple of filters. I found 14 Ultra to be more reliable than D-Lux 7.",@jodatseyal7877,90,2025-03-02T15:08:56Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgwoY4imnBFO9oCtJ0d4AaABAg,This black one with red around the camera is the best looking one.,@JustAnAtheist,168,2025-03-02T14:42:36Z,positive,True,False,,False,,False,,False,,True,positive,False,
Ugzb90RWMHQp3qkW40d4AaABAg,"As a tech person i appreciate these companies trying to stand out in something like cameras by going all out with them, but I held some of them in my hand like the vivo and the xiaomi and I really cannot get myself to actually buy one for long term, the OS and weight distribution is not my thing and the cameras are really great, but honestly, they aren't that much more great than something like the S25, Iphone or pixel like people (especially on twitter) say they are. I've seen many comparisons and when you have to really pay attention to see if a camera is better or not, then I prefer having a nicer looking and better weight distributed phone more. But thats just my opinion, I don't think they are bad phones in any regard",@NanartjeNicolaas,54,2025-03-02T15:20:58Z,neutral,True,True,positive,False,,False,,False,,True,negative,False,
UgwsMfgPATe3Flsgv6R4AaABAg,"Man, those pictures are impressive.",@gustavo1837,167,2025-03-02T14:56:52Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgyOjc5stZQECo3rcP14AaABAg,The rattle sound is from optical image stabilization (OIS),@abdul_sattar_9271,105,2025-03-02T15:27:08Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgyN39DRUwCT-uihL0t4AaABAg,MAN THIS IS A TRUE DSLR ALTERNATIVE I MUST SAY,@CHADAFGHAN,294,2025-03-02T14:49:51Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxePhXPevUoYskrvrt4AaABAg,I'm happy to have an S23 512g... more than really Xiaomi has surpassed itself with this device I've seen some videos it is this incredible embrace here from Brazil.,@leandrobaptista6318,7,2025-03-02T15:24:31Z,positive,True,False,,False,,False,,False,,False,,False,
Ugx78msF6bdjTvr20kR4AaABAg,2:08 the 1inch censor was first introduced on the Mi11 ultra and some reviews laughed at it..now its become the norm,@ItmustbeThulani,5,2025-03-02T22:43:02Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgzXTk2KbMVF1DtJHi94AaABAg,rattling sound is coming from OIS image stabilization :) majority of flagships have this sound present. Coming to the content...I think it is camera king in terms of photos.,@DamianNocun,6,2025-03-03T16:28:46Z,positive,True,True,positive,False,,False,,False,,False,,False,
Ugy6MDxO2BZV1s0xCZZ4AaABAg,All phones with OIS rattle when you shake them. It’s not only a xiaomi thing.,@sunfire5015,27,2025-03-02T15:17:46Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgxQylZztOtr8YCsXEx4AaABAg,"Man, I was going to get the grey/black colourway. But that black with red looks slick as hell.",@kopkiwi08,5,2025-03-02T23:38:49Z,positive,True,False,,False,,False,,False,,True,positive,False,
Ugw04yu8Zec13xMx5G54AaABAg,First phone camera I've seen that actually looks like an actual camera,@johnfstockland,8,2025-03-02T20:10:34Z,positive,True,True,positive,False,,False,,False,,False,,False,
Ugxu78OfcyI16NK_G_54AaABAg,1:13 every phone does that. Maybe you made a good rage bait! 😂,@adixar,1,2025-03-03T14:52:57Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugy1jY5xpRMLsoWNR254AaABAg,"I wished the YouTubers focused specially on low light photography as most of us use cameras after work.
In parties, dinners, dates, etc when it's not sunny. 

Thanks if you take note of this.",@abc_cba,62,2025-03-02T14:34:43Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
Ugy_zKZLLoKacHtrHQ54AaABAg,that shots were beautiful. now i want this phone all of a sudden 😭,@kanomee,2,2025-03-02T16:03:10Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxaiKjoFCUUIwbQIMp4AaABAg,"As always, great review Tom!! Looking forward for the next one. Thanks for the good work!",@sdotg,3,2025-03-02T16:03:22Z,positive,False,False,,False,,False,,False,,False,,False,
UgxOSjT5iDabi1IMtL54AaABAg,"On point best review out there. Finally some info packed review. Love the full circle story telling. I think if you embody your next review into one fun story, it will go through the roof.
We need more smart guys like you as reviewers.",@torbenm4964,1,2025-03-08T06:11:05Z,positive,False,False,,False,,False,,False,,False,,False,
Ugxjnar00cgqk45eHbR4AaABAg,The only thing about this phone that makes me wanna buy it is that camera grip accessory. Need that.,@Optykz,4,2025-03-02T15:03:57Z,positive,True,True,positive,False,,False,,False,,False,,False,
UgxnRWDDXw9IRtZ8JDh4AaABAg,Is that a Xiaomi in your pocket or are you just happy to see me 😂,@masoodahmad4401,45,2025-03-02T15:25:59Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxhLvN-clfG7CfshYV4AaABAg,Too bad they removed macro capabilities from that massive HP9 telephoto lens. Vivo has it on x100 ultra and x200 pro and it's incredible.,@blgDemon,13,2025-03-02T15:01:59Z,negative,True,True,negative,False,,False,,False,,False,,False,
UgxOWvBAmDM26R_vLS54AaABAg,Big up Wells! Tom’s a Somerset lad! 💪,@Cerberus_97,0,2025-03-30T22:06:44Z,positive,False,False,,False,,False,,False,,False,,False,
UgwRhiMKYnhJ8yPPkip4AaABAg,Hey Chaps! Do you think the 15 Ultra has the best camera??,@Thetechchap,7,2025-03-02T15:07:44Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
