comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzW44ihRL-DV9ZlCu54AaABAg,Still using Redmi Note 8 Pro since 2019. Going great!,@Gladiator7890,83.0,2025-01-13T17:25:04Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgynLwAiJZlxdwCYiJR4AaABAg,Still using my Redmi Note 10 Pro and my current phone now is Redmi Note 13 Pro 5G,@RavenSaints91,54.0,2025-01-12T10:09:17Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzifeSxGOzrpZB2met4AaABAg,"Just bought this phone today. I tried it for gaming with ML, PUBG and Genshin. So far so good, played with high settings",@itsyaboykoytv,13.0,2025-02-03T13:51:56Z,positive,True,False,,False,,True,positive,False,,False,,False,
UgzCT4Hab7ReZBZdhEd4AaABAg,Redmi Note 13 PRO 5G here🎉❤,@cipriantaoshu,42.0,2025-01-12T00:45:43Z,positive,True,False,,False,,False,,False,,False,,False,
UgyQmpmdcW1oFpnoh814AaABAg,"It really does irk me that they continue calling these devices ""Notes"", even though they don't support an active stylus with palm rejection or pressure sensitivity.",@RirtyDascal,68.0,2025-01-11T17:14:57Z,negative,True,False,,False,,False,,False,,True,negative,False,
Ugzw2v7yIPa5X2b2-IB4AaABAg,Watching using my redmi note 10 4G. Planning to buy redmi note 14 this january.,@vynznowayout24,14.0,2025-01-12T10:20:47Z,positive,True,False,,False,,False,,False,,False,,False,
UgzPuUtcU0y-Oq1E7kJ4AaABAg,Pinanood ko review mo gamit ang Redmi Note 10 Pro ko nitong nakaraang linggo pero ngayon gamit-gamit ko na iyong Redmi Note 14 Pro 5G. Medyo messy iyong AI Eraser feature ng phone pero upgrade pa rin ito para sakin. Okay na ako sa ganitong specs. Hindi talaga para sa lahat ang device dahil sa mga downgrade sides niya. Thank you sa review idol. Finally happy with my decision.,@ronron.e.patan16,4.0,2025-01-29T01:08:14Z,positive,True,True,neutral,False,,True,positive,False,,False,,False,
Ugwui1lFaqsysJ_Qh1V4AaABAg,Whats thats intro 😂😂,@Paimonaether2005,29.0,2025-01-11T16:43:38Z,neutral,False,False,,False,,False,,False,,False,,False,
UgztJrMbf7CVGTFxcw54AaABAg,Still using Redmi note 10s 😭,@adirosesFPV,158.0,2025-01-11T16:43:19Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzR1q4PNQ72KBMAQMJ4AaABAg,"Last week my Redmi Note 9 stopped working, but I've had it since 2019. I bought the 14 Pro 5G and I'm very satisfied.",@anunciadalopes573,2.0,2025-02-21T11:57:46Z,positive,True,False,,False,,False,,False,,False,,False,
UgwbXbafhK-b7GyJgf94AaABAg,Still using redmi note 10 pro,@sirdeco01,50.0,2025-01-11T17:51:35Z,neutral,True,False,,False,,False,,False,,False,,False,
UgwURR1m2cHs5wFI55x4AaABAg,"Using my redmi note 12 pro, my first redmi and phone by Xiaomi",@dalekx215,2.0,2025-01-14T01:08:14Z,neutral,True,False,,False,,False,,False,,False,,False,
UgzAsomWW3gpDUkUCXR4AaABAg,No micro sd means no purchase. Why are Android phone makers removing all the advantages the platform has over iOS?! Madness!,@mdluk199,4.0,2025-03-07T18:14:14Z,negative,True,False,,False,,False,,False,,True,negative,False,
UgxPV0eEWvS6IatXNJd4AaABAg,"Haha, the dropping dramatization is unexpectedly funny.",@_gelon,10.0,2025-01-11T16:48:26Z,positive,False,False,,False,,False,,False,,False,,False,
Ugz6aymtv0JUiNs9ziV4AaABAg,"I always like ya review bro, the voice 🆒😎",@asadnation5097,3.0,2025-01-12T18:58:14Z,positive,False,False,,False,,False,,False,,False,,False,
UgxbIz5lqBm522yMZcp4AaABAg,Please mention the price when you do the reviews,@realAfrican,15.0,2025-01-12T04:29:40Z,neutral,True,False,,False,,False,,False,,False,,True,neutral
UgyNWLjUiiBssYB-zrt4AaABAg,"This years lineup of redmi phones is the worst in years. The poco x7 (pro) series has pretty much the same features and performance as the redmi 14 series only being cheaper. The downgrade of the pro model charging with only 45Watts has to be a joke. Xiaomi also jumped on the ""we don't put a charger in the box"" train.",@kirbinster,15.0,2025-01-11T17:12:23Z,negative,True,False,,True,negative,True,negative,False,,True,negative,True,negative
UgwdONJhrHg2BMLhmPx4AaABAg,"Basically same as Poco x7, all specs except battery are identical. Except almost twice the price😂",@OneDollaBill,62.0,2025-01-11T16:53:01Z,negative,True,False,,True,neutral,False,,False,,False,,True,negative
UgyjBgpOcBPRWEk1scR4AaABAg,I didn't expect the bit at the beginning 😂,@The-messiah254.,1.0,2025-01-11T17:10:22Z,positive,False,False,,False,,False,,False,,False,,False,
UgyYK3juNKgsbPB83Mh4AaABAg,"Thanks for the thorough testing! Thanks to you I will go buy this phone. 👌🏼✌🏼 Where do you live by the way? 
Greetings from Malmö, Sweden.",@martinlagerstrom2599,0.0,2025-03-20T22:39:04Z,positive,True,False,,False,,False,,False,,False,,False,
Ugw_vf_MyvuFktHnkGF4AaABAg,Another excellent detailed presentation thanks.  Great value in this  phone . James J Walsh in Limerick city Ireland 🇮🇪,@jameswalsh2427,2.0,2025-03-08T16:59:03Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgxyVrs6SMHOB_Wf_NZ4AaABAg,"I'm watching from my Redmi 10 Pro, and honestly, the improvements after this phone have not been worth upgrading. I might have to get Xiaomi's flagships for my next phone because the midrange seems to have stalled.",@LarryNgetich,5.0,2025-01-12T18:37:31Z,negative,True,False,,False,,True,negative,False,,False,,False,
Ugy-j4zAj6erFlmUkcB4AaABAg,0:01 Zero gravity in a phone review? Nice slow-mo takes!,@guillejp-yt,0.0,2025-01-11T19:27:11Z,positive,False,False,,False,,False,,False,,False,,False,
UgxuyNImN49SWWDyTqB4AaABAg,I have note 9 pro and note 13 pro and i have to say that note 9 was more durable and smooth for 3 years but note 13 pro after 4 months starts to act like is 6 years old...maybe its just the updates,@DanSorin1,5.0,2025-01-15T09:27:40Z,negative,True,False,,False,,True,negative,False,,True,negative,False,
UgwPC0l44HT2XJMDZ4t4AaABAg,Definitely a good budget phone for casual usage,@ciiil8802,1.0,2025-01-11T16:54:54Z,positive,True,False,,False,,False,,False,,False,,True,positive
Ugz-iV_Qp5YQNfjs16x4AaABAg,I had Redmi note 8 pro and still good love that phone,@nydentertainment,0.0,2025-02-17T22:42:18Z,positive,True,False,,False,,False,,False,,False,,False,
UgwYMQeCgp3KRuQMloR4AaABAg,The intro should be like a regular gag on this channel. 😂,@theiammike123,0.0,2025-01-14T12:03:29Z,positive,False,False,,False,,False,,False,,False,,False,
UgxJ79KpWjVpOPu7pEV4AaABAg,This phone is exactly the poco x7 except the main 200 megapixel camera!,@Rez_Nature,6.0,2025-01-11T20:00:44Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
Ugw19Iuu67aNqsmO8Et4AaABAg,A nice budget phone right here🎉🎉🎉❤❤❤,@praiseoguzie7728,0.0,2025-01-11T16:43:50Z,positive,True,False,,False,,False,,False,,False,,True,positive
UgxzgGoA8bQBHUHOVJd4AaABAg,It's nice that yesterday's flagship features are implemented in midrange phones. I hope they do the same for the cameras.,@mjbarien,0.0,2025-01-12T01:30:26Z,positive,True,True,neutral,False,,False,,False,,False,,False,
Ugwgtwfk6kXKnYXpudx4AaABAg,"Thanks amigo. So bottom line for 4k vlogging while walking is good enough, right? Or is last year's version better for that?",@TheEddieToro,0.0,2025-01-12T15:59:16Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgzZLnB9Oyu3hlY5Wgp4AaABAg,I love the design of Xiaomi turbo 4 I wish there was a global version with same design.,@oscarotieno9910,2.0,2025-01-11T16:55:22Z,positive,True,False,,False,,False,,False,,True,positive,False,
UgwSsSUAhCt-RXZCJTx4AaABAg,"Absolutely the same as previous Redmi Note 13 Pro for double the price, what an embarrassment 😂😂😂",@kindzadza134,5.0,2025-01-11T20:37:28Z,negative,True,False,,False,,False,,False,,False,,True,negative
UgxCBCkSR9lmbZzfWJ94AaABAg,I'm using mine now just got yesterday,@judyrull1294,2.0,2025-01-13T02:37:31Z,neutral,True,False,,False,,False,,False,,False,,False,
UgyufeP33AywVw0H9Kx4AaABAg,Still using Redmi Note 9s since 2021.🤟🏻,@BelleAme114,7.0,2025-01-17T19:45:27Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugx928Pv7B2viuQt-ux4AaABAg,Still using the Redmi note 10 pro..... Still awesome,@Komeh_,0.0,2025-01-26T08:02:59Z,positive,True,False,,False,,False,,False,,False,,False,
UgxzIWQlZJQu2np7TQt4AaABAg,What about its temper glass are available at affordable price or not,@veerushivapurmath9222,1.0,2025-01-14T14:19:42Z,neutral,True,False,,False,,False,,False,,True,neutral,True,neutral
UgyyWWm5PcPf3Bpjum54AaABAg,I checked these series in person like swear mas okay pa ung note 9 ko kung di lang naghingalo diko talaga papalitan to pero overtime ung ram idk if it's batt pero naghihingalo na talaga can't even use outside it keeps dying,@cdytln,0.0,2025-02-15T12:35:24Z,negative,True,False,,True,negative,True,negative,False,,False,,False,
UgwyTGGqruq7OIs3gn94AaABAg,Just bought this fone ❤,@jennifertentativa5147,0.0,2025-01-18T21:30:43Z,positive,True,False,,False,,False,,False,,False,,False,
UgzJwgnHIWJMxSxHjA14AaABAg,"I don't have any xiaomi 😭, it's my beloved 😍 phone but now am using Tecno Spark 10 pro. I hope God will give me my lovely Mi11t pro 256/12gb snow white",@barderians,0.0,2025-01-15T11:41:55Z,positive,True,False,,False,,False,,False,,False,,False,
UgzOBUAYLjkcVQKedBx4AaABAg,Watching this on my Redmi Note 8 Pro 🥲,@ikentfix,3.0,2025-01-11T18:34:47Z,neutral,True,False,,False,,False,,False,,False,,False,
Ugz2dzw8AeSW7ivLvOp4AaABAg,Does the battery work well in winter?,@andyle1038,1.0,2025-02-05T20:02:41Z,neutral,True,True,neutral,True,neutral,False,,False,,False,,False,
Ugz-t5wrnN4YS1aVN4l4AaABAg,here is only me who have this phone?😭,@Anshita-g3f,0.0,2025-03-22T18:14:27Z,neutral,True,False,,False,,False,,False,,False,,False,
UgxFZfcYVs4ivwIBxZh4AaABAg,I bought mine great fone,@wizzyskproduction8097,0.0,2025-01-31T21:38:24Z,positive,True,False,,False,,False,,False,,False,,False,
UgwBWJdNAXX9y9s32i54AaABAg,"I just got mine yesterday. I could't figure out how to record 4k videos. Are there some additional steps to enable it ? It would seem as if it isn't available in this version. I found a review video that said the 14 pro version doesn't have 4k videos, but in the website they say it does. Maybe something software related ?",@TH3BADRO,1.0,2025-01-25T20:55:04Z,neutral,True,True,neutral,False,,False,,False,,False,,False,
UgxNo8SxKV7K6Z7c5VB4AaABAg,"Same phone as poco x7, can you compare?",@xsoft7,7.0,2025-01-11T17:19:12Z,neutral,True,False,,False,,False,,False,,False,,False,
UgxLzEonbMJ3fPHCELt4AaABAg,i get its budget but not having 4k 60fps is stupid,@marklola12,3.0,2025-01-11T17:34:26Z,negative,True,True,negative,False,,False,,False,,False,,False,
Ugw2xcDs5d5rSG4sssx4AaABAg,Thanks for share this post❤❤❤,@MohammadRiyad-f5f,0.0,2025-01-15T18:20:36Z,positive,False,False,,False,,False,,False,,False,,False,
