comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgxS1QgwFnV63lk9M1h4AaABAg,Any phone can airdrop to iPhone if it requires a separate app,@thecyberquake618,1523,2024-12-06T20:59:49Z,negative,False,False,,False,,False,,False,,False,,False,
UgyQNNon1COIyoIQb8p4AaABAg,The weakness of sponsored videos is demonstrated clearly by the fact that they didn’t call out Oppo for claiming ‘airdrop to iPhones’ when the massive caveat of “required a separate app on iPhone” defeats the entire damn point of the feature.,@Simalacrum,479,2024-12-07T19:42:50Z,negative,False,False,,False,,False,,False,,False,,False,
UgxYA5yLi1yA9Ji73sp4AaABAg,"""> can airdrop files to my iPhone holding friends SORRY WHAT > requires the iPhone user to download an app Yeah that’s false advertising""",@PixPMusic,671,2024-12-07T18:04:17Z,negative,False,False,,False,,False,,False,,False,,False,
UgweEoLkBgwS_8f7e854AaABAg,I can airdrop stuff to iPhones as well when I have them install an app for that as well.. So that's not an actual feature Imo,@YannickBo,1057,2024-12-06T19:40:56Z,negative,False,False,,False,,False,,False,,False,,False,
UgxOGgXAL9F0NkXUnjx4AaABAg,2:32 Well gosh darn that completely defeats the purpose of it doesn't it,@smashed_penguin,692,2024-12-06T19:38:07Z,negative,False,False,,False,,False,,False,,False,,False,
Ugw6d8YUZhPp8sMiiUp4AaABAg,2:33 oppo's sponsor email definitely included show casing this feature as a bullet point,@kenteato,78,2024-12-06T21:41:37Z,neutral,False,False,,False,,False,,False,,False,,False,
Ugww5KGb4wZfcQPBwEl4AaABAg,"""""""Good phones are getting cheaper and cheap phones are getting better.""""  - Someone who drove at 96 through a school zone while charging $50/month for a wallpaper app""",@thexgamer8240,793,2024-12-06T19:34:27Z,neutral,False,False,,False,,False,,False,,False,,False,
UgwpqyuQqVYlsVPS22d4AaABAg,Dual sim? Expandable storage? A headphone jack? Does it have an unlocked bootloader?,@yolad,222,2024-12-06T22:30:54Z,neutral,False,False,,False,,False,,False,,False,,False,
UgxWDhMBQgEpC5EqoPl4AaABAg,You can't call it AirDrop if it's not compatible with the iPhone feature called AirDrop,@tekeous,65,2024-12-06T23:28:04Z,negative,False,False,,False,,False,,False,,False,,False,
Ugz3Y9jtwvy6hMtQxkd4AaABAg,I bought the X5 almost 2 years ago and after years 7 years of Samsung usage the Color OS was really a breath of fresh air.,@Rexperto6454,9,2024-12-07T12:38:29Z,positive,False,False,,False,,False,,False,,False,,False,
