comment_id,comment_text,author,like_count,published_at,overall_sentiment,relevant,camera_mentioned,camera_sentiment,battery_mentioned,battery_sentiment,performance_mentioned,performance_sentiment,display_mentioned,display_sentiment,design_mentioned,design_sentiment,price_mentioned,price_sentiment
UgzqERaG32Xa1_DtQdZ4AaABAg,Long term user reviews are way more useful for the average person and should be more common format.,@lewolf625,199,2025-03-13T21:24:09Z,positive,False,False,,False,,False,,False,,False,,False,
Ugx3XLUU0op4mljITUp4AaABAg,"the micro scratches u mentioned are because Apple prioritizes crack prevention for their glass. the ""softer"" the glass, the more likely to scratch BUT that makes it LESS likely to crack.",@hotsauce0097,60,2025-03-14T04:48:11Z,neutral,True,False,,False,,False,,False,,True,neutral,True,neutral
UgxecbF-ETZTGw6zKAF4AaABAg,Entire vibe of this review is chill yet detailed and personal.. loved it,@joekitsukawa8840,36,2025-03-13T21:29:26Z,positive,False,False,,False,,False,,False,,False,,False,
UgzGvmpX8SKqDvUEw2B4AaABAg,I'm really glad you mentioned that it gets hot. You're about the only reviewer who has mentioned it. I have the 16 pro max and have had overheating issues since I bought it and the battery has been draining a bit quicker than the 15 pro max or even the Nothing Phone (2) I came from.,@UnitedHornet,16,2025-03-17T05:29:20Z,negative,True,False,,True,negative,True,negative,False,,False,,False,
UgzYVg3nqZnYrykVCo54AaABAg,The volume maxing out bug was way too relatable💀,@brycomeetbryco,23,2025-03-15T17:22:26Z,negative,True,False,,False,,True,negative,False,,False,,False,
Ugxid_rMdLcd3ZR17Op4AaABAg,"Upgrading from a Pixel 5 due to battery issues, this iPhone 16 Pro will be my phone until 2030, God willing.",@Justalayman776,13,2025-03-15T11:13:32Z,positive,True,False,,True,positive,False,,False,,False,,False,
Ugw0mTAnpEMH72Poktx4AaABAg,"I upgraded from an iPhone 12 in December. The update was very solid, and I'm more than happy with the improvements. However, it's not worth it if you're upgrading from a 14 or 15 to the 16. Overall, I've noticed significant improvements, including all-day battery life, faster speeds, amazing camera quality, a snappier and brighter display, and a more luxurious feel. I would rate this update a solid 10/10.",@LosEsco,57,2025-03-13T21:58:02Z,positive,True,True,positive,True,positive,True,positive,True,positive,True,positive,False,
Ugx8RnZsf0h-d1VhNcJ4AaABAg,"Always love these long term reviews Andrew, I've been using my iPhone 13 for at least three years! I think overall iPhone 16 is a very solid phone with a lot to offer, but yeah iPhone 17 will be what I am currently waiting for 👍",@Jeff-oo9br,8,2025-03-13T22:08:21Z,positive,True,False,,False,,False,,False,,False,,False,
UgzgvVC_8f0ZYr-KW7J4AaABAg,"Great to have an honest review. Thank you. The battery heating up is definitely an issue and renders the phone virtually unuseable. I've also had problems with apps not opening, swiping to answer a call not working etc. The jury is out for me on the cameras. I'm still learning how to use the various functions but I'm experiencing problems (could be user error). The biggest issue I have is battery life. I take a lot of photos and the phone barely lasts half a day unless I switch off everything, such as locations services, background app refresh etc.",@lg8063,0,2025-03-26T17:10:55Z,negative,True,True,neutral,True,negative,True,negative,False,,False,,False,
UgzYl6R8FH9V-xuP0Tx4AaABAg,"upgraded from XR to 16pro, love it",@cheokfungchiew9741,8,2025-03-14T04:29:13Z,positive,True,False,,False,,False,,False,,False,,False,
UgwC6AI1c8NtYD7Hkut4AaABAg,"I'm glad he is mentioning the iOS 18 bug. 🐛 It's good to know that the speakers are good, I like using the speakers on my phone sometimes.",@BKM389,3,2025-03-14T15:39:50Z,mixed,True,False,,False,,True,negative,False,,True,positive,False,
UgwWjaPIbBIq8jkk5D54AaABAg,I upgraded from iPhone 12 to the 16 pro and the iPhone 12 was my first iPhone.,@King_Edward97,5,2025-03-17T00:58:38Z,neutral,True,False,,False,,False,,False,,False,,False,
UgyxowdEnpuBBzlpvUB4AaABAg,Absolutely agree on how easy this screen prone to scratch!,@ianseptian8333,1,2025-03-14T14:46:38Z,negative,True,False,,False,,False,,True,negative,False,,False,
Ugx37cMBf2dmrlHSSK54AaABAg,"I am experiencing the same thermal issues with my 16 Pro, it is really annoying when I'm trying to film videos, take photos, on FaceTime and even gets hot when I am on YouTube sometimes.",@FaMousD97,2,2025-03-14T05:24:07Z,negative,True,True,negative,False,,True,negative,False,,False,,False,
