comment_id,video_id,author,text,published_at,like_count,reply_count,video_title,channel_title,phone_model,parent_id
UgyozY2xZmXE_8udVxN4AaABAg,pijEZbZemUM,@dword492,Just ordered this phone for 400 on eBay renewed second phone from them  duel sim unlocked 512gb,2025-03-13T01:45:27Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgwJ9Iqq0SBs4uXEUVR4AaABAg,pijEZbZemUM,@dark15ss92,Shit phone I am totally disappointed 😞😞😞😞😞 it's last time when I decided to buy this. It's the worst sound in headphones I ever heard,2025-03-08T23:29:21Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgzPIvUT5TeGGC229Sh4AaABAg,pijEZbZemUM,@poochtheplanet,Ehy dont they have ip68? Or even 67?,2025-02-23T04:08:32Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
Ugw3muY30pK3ziXGSAl4AaABAg,pijEZbZemUM,@user99869,"Anyone know where one can buy the global version of the Chinese phones in Australia? I'm waiting for the vivo X200 Ultra, but I don't want the Chinese-version as it has bloatware and the UI is slightly different to the global version.",2025-01-21T10:33:30Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgweUveaWKNIT4Gzs4d4AaABAg,pijEZbZemUM,@CFox2023,"I’m looking for a new phone, but I feel highly unsatisfied i have both viewed,two different phones you reviewed, just for my IPhone SE 3RD GEN TO HAVE BETTER FPS AT 4K 60 FPS! SORRY NOT SORRY ANYTHING THAT COST MORE SHOULD PRODUCE BETTER HQ NO EXCUSES!",2024-12-30T11:41:11Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgwOrSmPvCdK7-Unwex4AaABAg,pijEZbZemUM,@itz_asad7,ONEPLUS 12 ✅💯❤️,2024-12-14T22:54:57Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgxBq4YlBtZqwa76RWd4AaABAg,pijEZbZemUM,@BrendaSmith-l4i,Moto edge plus 2023 vs over plus 12? What better??,2024-12-08T10:49:41Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgzXQtpOod2Xk0hMLi14AaABAg,pijEZbZemUM,@Captaingaming0000,Is it curved or flat display?,2024-12-07T15:51:19Z,0,1,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgzXQtpOod2Xk0hMLi14AaABAg.ABkbHrifGmPABrn8g2Bc82,pijEZbZemUM,@Pekelder,Curved..,2024-12-10T10:49:36Z,1,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,UgzXQtpOod2Xk0hMLi14AaABAg
UgyEEcGzXxyCrK0jlqV4AaABAg,pijEZbZemUM,@TilakRam-d7w,My favorite phone one❤️,2024-12-03T20:29:20Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgxESs6icSQu9-_9QOd4AaABAg,pijEZbZemUM,@nita0717,"I just order mine on a Black Friday deal. I'm coming from a OP 7 pro that I love so much I didn't want to apply for a trade in. Hope I'm not making a mistake, my OP 7 pro is still a beast and looks brand as new.",2024-12-02T05:28:47Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
UgybPYQSiVONciyywnh4AaABAg,pijEZbZemUM,@edishajoseph9918,Is it dual sim?,2024-12-01T23:38:26Z,1,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
Ugyh7Q2uMrDn0G9x03F4AaABAg,pijEZbZemUM,@bradquigley81,Azerbaijan?  Ok. Not a great review..I get it. I would not show the pictures of the old soviet stuff. Your in the stepp. There is plenty to take pictures of.,2024-11-28T03:28:03Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
Ugy6zj2FhQjMRJzKBup4AaABAg,pijEZbZemUM,@MrAzzywazzy,Been using Samsung all my life but so tempted to get this!!,2024-11-24T00:55:44Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
Ugzqi-LolCZ9aEuIW_Z4AaABAg,pijEZbZemUM,@Goenie2005,"No anti glare, curved screen, these are big deal breakers. Can they stop already with the curved screens.",2024-11-21T20:42:21Z,0,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
Ugzmow4K8ojiHHIIfdl4AaABAg,pijEZbZemUM,@richovernight420,What would be better .. this one or pixel 9 pro xl?,2024-11-17T00:27:37Z,2,0,OnePlus 12 full review,GSMArena Official,OnePlus 12,
