comment_id,video_id,author,text,published_at,like_count,reply_count,video_title,channel_title,phone_model,parent_id
UgxMEX30t86oSgyvpw54AaABAg,cBpGq-vDr2Y,@muhammadusamawajid2633,Wallpaper collection is very limited why?,2025-03-10T03:09:35Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgwAX8DN46uJKQTA8LB4AaABAg,cBpGq-vDr2Y,@imikanunwana3148,From the 11pro im jumping to the 14pro worth the upgrade for 3years,2025-03-09T05:32:17Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxhOzSUQM85eWcB5yt4AaABAg,cBpGq-vDr2Y,@EnnyLearns,I watch MKBHD videos purely for the production quality,2025-03-08T05:46:52Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxriDNdqNnK3HNV6BZ4AaABAg,cBpGq-vDr2Y,@MUHAMMADNABEEL-r6b5m,I am user of iPhone 15 Pro. There is an issue. They keyboard is touch is not that effective. 15 Pro Max is better option. I would say,2025-03-06T11:23:33Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
Ugz_4h7PVVAcK2Q8nEx4AaABAg,cBpGq-vDr2Y,@rickbiessman6084,What a BANGER of an intro!!!,2025-03-04T18:44:43Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
Ugxv0uVQArtIYA4AYgl4AaABAg,cBpGq-vDr2Y,@vilioNRG94,"Still wondering between 15Pro and 16e 
SE2020 user here 💪😁",2025-03-02T23:26:04Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxlUp-9vXCwP1lEQER4AaABAg,cBpGq-vDr2Y,@kithdee9528,Here in 2025 🤝🏽,2025-02-27T20:31:14Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxFcdPiwhhF1dSKrQZ4AaABAg,cBpGq-vDr2Y,@Elzorab26,"Just bought it, it doesn’t work with my previous usb c cable from huawei. Universal cable bs",2025-02-26T07:08:28Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgzwOIfvKNUZ6DnOVxF4AaABAg,cBpGq-vDr2Y,@techultron_etron,This intro is on fire bro 🔥🔥👏🙏 keep up the good work man 💪,2025-02-24T23:30:34Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgzxfOpA3TOiR-stet94AaABAg,cBpGq-vDr2Y,@SCORPIONKING1988ENGLISHNOV8TH,"I AM USING GOOGLE ANDROID OS(OPERATING SYSTEM) USA✨️🇺🇸🦅💙 CALIFORNIA AMERICAN🇺🇲TECH COMPANY
FAVORITE😍 BEST💙 LIKED👍 

ANDROID OS MOBILE📱PHONES ARE
CHEAP❤ BEST💙  READILY AVAILABLE IN MARKET💚",2025-02-22T13:59:02Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
Ugwz7DTcL--U3H8Z9Qx4AaABAg,cBpGq-vDr2Y,@Raghibsays,Why it's dubbed in Hindi and there is no option to change language,2025-02-16T19:45:07Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgwV-kRTKov-Jm1Ts8p4AaABAg,cBpGq-vDr2Y,@SaifAlsayeg,9:55 ayoo,2025-02-16T18:56:53Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
Ugw0ItgEW2YhPOEqfrV4AaABAg,cBpGq-vDr2Y,@marketahorases,I love the way he keeps comparing the Porsche and the phone back to back,2025-02-11T11:02:50Z,3,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxFwQs-zwCIq3YEpUt4AaABAg,cBpGq-vDr2Y,@qu33niemonroe64,So I have iPhone 12 Pro Max should I switch it iPhone 15 pro or plus,2025-02-03T02:30:51Z,1,1,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgxFwQs-zwCIq3YEpUt4AaABAg.AE3WmpnYMipAEMN3UU7eOF,cBpGq-vDr2Y,@Safar_pubg0,15 pro and pro max would be good but base 15 and 15plus are bad than 12promax,2025-02-10T10:11:27Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,UgxFwQs-zwCIq3YEpUt4AaABAg
UgyDE5jUl2LeRDkeLhd4AaABAg,cBpGq-vDr2Y,@Dylan-i3k2e,8:29 and bro is talking like it is just the iPhone that doesn’t let you use all the performance. Literally every phone can be used for the analogy,2025-02-01T03:06:36Z,1,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
Ugy8ai8SuPBZT_74fFB4AaABAg,cBpGq-vDr2Y,@Dylan-i3k2e,5:37 why would they build features around the charging port when they were forced to switch it? Come on now,2025-02-01T03:01:46Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgyISGVS13kxlz9r_YV4AaABAg,cBpGq-vDr2Y,@Dylan-i3k2e,People have to get it out of their head that a phone NEEDS to have more changes to it than the previous year.,2025-02-01T02:57:05Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgwYp8EqNxx8lBML5bB4AaABAg,cBpGq-vDr2Y,@Volthavemakesthings,Where can we find the that you featured in this video on the Panels app???,2025-01-28T22:32:23Z,0,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
UgyVnvSYvbntmYpgiyd4AaABAg,cBpGq-vDr2Y,@WaveKing12,5:39 ksa also they banned selling (new) devices that don’t use usb c🎉,2025-01-25T07:37:13Z,1,0,"iPhone 15 Pro Review: The Good, The Bad, &amp; The Ugly!",Marques Brownlee,iPhone 15 Pro,
